,word,,domains,english,spanish,french,indonesian
59,אָבֵל בֵּית־מַעֲכָה,PN,settlement,Abel-Beth-Maacah,Abel Betmacá / Abel-bet-maaca,Avel-Beth-Maaka,Abel-Bet-Maakha
60,אָבֵל הַשִּׁטִּים,PN,settlement,Abel-Shittim,Abel-sitim,Avel-Shittim,Abel-Sitim
61,אָבֵל כְּרָמִים,PN,settlement,Abel-Keramim,Abel-queramim,Avel-Keramim,Abel-Keramim
62,אָבֵל מְחוֹלָה,PN,settlement,Abel-Meholah,Abel-meholá,Avel-Mehola,Abel-Mehola
63,אָבֵל מַיִם,PN,settlement,Abel-Maim,Abel-maim,Avel-Maïm,Abel-Maim
64,אָבֵל מִצְרַיִם,PN,settlement,Abel-Mizraim,Abel-misraim,Abel-Misraïm,Abel-Mizraim
65,אֶבֶן-1,RE,tools /  weight /  commerce,stone weight,balanza / romana,balances / poid,timbangan
66,אֶבֶן-2,RE,gemstones,precious stone,piedra preciosa,pierre précieuse / pierre de garniture,batu permata
67,אֶבֶן בֹּהַן בֶּן־רְאוּבֵן,PN,locale,Stone of Bohan the son of Reuben,roca de Boán Ben Rubén,Bohân,Batu Bohan
68,אֶבֶן הַזֹּחֶלֶת,PN,locale,Serpent’s Stone / Stone of Zoheleth,,Rocher du Serpent,Batu Ular / Batu Zohelet
69,אֶבֶן הָעֵזֶר,PN,locale,Ebenezer,Eben-ézer,Evèn-Ezèr,Eben-Haezer
70,אָבְנַיִם-1,RE,tools,pottery wheel,torno,tour de potier,pelarikan / roda tembikar
71,אָבְנַיִם-2,RE,tools /  childbirth,birthstool,par de piedras,tabourer pour l'accouchement,kursi kelahiran / bersalin
72,אַבְנֵר,PN,person,Abner,Abner,Avner / Aviner,Abner
73,אֶבֶץ,PN,settlement,Ebez,Ebes,Evèç,Ebes
74,אִבְצָן,PN,person,Ibzan,Ibsán,Ibçân,Ibzan
75,אַבְרָהָם,PN,person,Abraham,Abraham,Abraham,Abraham
76,אַבְרָם,PN,person,Abram,Abram,Abram,Abram
77,אַבְשָׁלוֹם-1,PN,person,Absalom,Absalón,Absalom,Absalom
78,אַבְשָׁלוֹם-2,PN,person,Absalom,Absalón,Absalom,Absalom
79,אֹבֹת,PN,settlement,Oboth,Obot,Ovoth,Obot
80,אָגֵא,PN,person,Agee,Agué,Agué,Age
81,אֲגַג-1,PN,person,Agag,Agag,Agag,Agag
82,אֲגַג-2,PN,person,Agag,Agag,Agag,Agag
83,אֲגָגִי,PN,person,Agagite,Agagita,Agaguite,orang Agag
84,אֱגוֹז,FL,trees /  fruits,walnut,nogal,noix,kenari
85,אָגוּר,PN,person,Agur,Agur,Agour,Agur
86,אֶגְלַיִם,PN,settlement,Eglaim,Eglaim,Eglaïm,Eglaim
87,אַגְמוֹן,FL,grasses,rush / bulrush,junco,roseau / jonc,gelagah / rumput gajah
88,אַדְבְּאֵל,PN,person,Adbeel,Adbeel,Adbéel,Adbeel
89,אֲדַד,PN,person,Hadad,Hadad,Hadad,Hadad
90,אִדּוֹ,PN,person,Iddo,Idó,Iddo,Ido
91,אֱדוֹם,PN,group /  area,Edom,Edom,Edom,Edom
92,אֲדוֹמִי,PN,group,Edomite,Edomita,Edomite,orang Edom
93,אַדּוֹן,PN,settlement,Addon,Adón,Addôn,Adon
94,אָדוֹן,BE,people /  authority,lord / master / owner,señor / amo,seigneur / maître / propriétaire,tuan / pemilik
95,אֲדוֹרַיִם,PN,settlement,Adoraim,Adoraim,Adoraïm,Adoraim
96,אַדִּיר-1,AT,"honor, respect, status",mighty / majestic / noble,poderoso / magnífico,magnifique,mulia / dahsyat / perkasa / termasyur
97,אַדִּיר-2,BE,"people; honor, respect, status",noble / leader / officer,noble / líder,capitaines / nobles / notable,bangsawan / pemimpin / perwira
98,אֲדַלְיָא,PN,person,Adalia,Adalías,Adalya,Adalya
99,אדם,RE,crafts /  cloth,to be dyed red,teñir de rojo,être rouge,dicelup merah
100,אָדָם-1,PN,person,Adam,Adán,homme / Adam,Adam
101,אָדָם-2,PN,settlement,Adam,Adán,Adam / homme,Adam
102,אָדָם-3,BE,people,man / human / humankind / human being,hombre / humanidad / seres humanos,homme / humanité / personne / n’importe qui,manusia
103,אֹדֶם,RE,gemstones,ruby / carnelian,rubí / cornalina,rubi / sardoine,rubi / akik
104,אַדְמָה,PN,settlement,Admah,Admá,Adma,Adma
105,אֲדָמָה,PN,settlement,Adamah,Adamá,Adama,Adama
106,אֲדָמִי הַנֶּקֶב,PN,settlement,Adami Nekeb,Adamí-néqueb,Adami-Nèqev,Adami-Nekeb
107,אֲדֻמִּים,PN,nature,Adummim,Adumim,Adoummim,Adumim
108,אַדְמָתָא,PN,person,Admatha,Admata,Admata,Admata
109,אַדָּן,PN,settlement,Addan,Adón,Addân,Adan
110,אֲדֹנָי,BE,supernatural beings and powers /  titles,Lord / Master,Señor / Amo,Seigneur / Maître,Tuhan / Tuan
111,אֲדֹנִי־בֶזֶק,PN,person,Adoni-Bezek,Adonisédec,Adoni-Bèzeq,Adoni-Bezek
112,אֲדֹנִי־צֶדֶק,PN,person,Adoni-Zedek,Adonisédec,Adoni-Sédeq,Adoni-Zedek
113,אֲדֹנִיָּה-1,PN,person,Adonijah,Adonías,Adonias,Adonia
114,אֲדֹנִיָּה-2,PN,person,Adonijah,Adonías,Adoniya,Adonia
115,אֲדֹנִיָּהוּ-1,PN,person,Adonijah,Adonías,Adonias,Adonia
116,אֲדֹנִיָּהוּ-2,PN,person,Adonijah,Adonías,Adoniyahou,Adonia
117,אֲדֹנִיקָם,PN,person,Adonikam,Adonicam,Adoniqam,Adonikam
118,אֲדֹנִירָם,PN,person,Adoniram,Adoniram,Adoniram,Adoniram
119,אַדָּר-1,PN,settlement,Adar,Adar,Addar,Adar
120,אַדָּר-2,PN,person,Adar,Adar,Addar,Adar
121,אֲדֹרָם,PN,person,Adoram,Adoram,Adoram,Adoram
122,אַדְרַמֶּלֶךְ-1,PN,supernatural beings and powers,Adrammelech,Adramélec,Adrammélek,Adramelekh
123,אַדְרַמֶּלֶךְ-2,PN,person,Adrammelech,Adramélec,Adrammélek,Adramelekh
124,אֶדְרֶעִי-1,PN,settlement,Edrei,Edrei,Edrèï,Edrei
125,אֶדְרֶעִי-2,PN,settlement,Edrei,Edrei,Edrèï,Edrei
126,אהב,AT,affection,love,amar,aimer,kasihi / cinta / suka
127,אַהֲבָה,AT,affection,love,amor,amour,mengasihi / cinta
128,אֹהַד,PN,person,Ohad,Óhad,Ohad,Ohad
129,אַהֲוָא,PN,area /  nature,Ahava,Ahavá,Ahawa,Ahawa
130,אֵהוּד-1,PN,person,Ehud,Ehud,Ehoud,Ehud
131,אֵהוּד-2,PN,person,Ehud,Ehud,Ehoud,Ehud
132,אֹהֶל,PN,person,Ohel,Óhel,Ohel / tente,Ohel
133,אֹהֶל מוֹעֵד,RE,construction /  religious activities,tent of meeting,tabernáculo de reunión / tienda de reunión,tente de la rencontre,Kemah Pertemuan
134,אָהֳלָה,PN,person,Oholah,Aholá,Ohola,Ohola
135,אֲהָלוֹת,FL,trees /  perfumes and spices,aloes,,aloès,gaharu
136,אָהֳלִיאָב,PN,person,Oholiab,Oholiab,Oholiav,Oholiab
137,אָהֳלִיבָה,PN,person,Oholibah,Oholibá,Oholiba,Oholiba
138,אָהֳלִיבָמָה-1,PN,person,Oholibamah,Oholibamá,Oholivama,Oholibama
139,אָהֳלִיבָמָה-2,PN,person,Oholibamah,Oholibamá,Oholivama,Oholibama
140,אֲהָלִים,FL,trees /  perfumes and spices,aloes,,aloès,gaharu
141,אַהֲרֹן,PN,person,Aaron,Aarón,Aaron / les prêtres,Harun
142,אוּאֵל,PN,person,Uel,Uel,Ouël,Uel
143,אוֹב,RI,paganism,spirit / necromancy / necromancer,espíritu / nigromante / nigromancia,outre,ahli nujum
144,אוֹבִיל,PN,person,Obil,Obil,Ovil,Obil
145,אוּזַי,PN,person,Uzai,Uzai,Ouzaï,Uzai
146,אוּזָל,PN,person,Uzal,Uzal,Ouzal,Uzal
147,אֱוִי,PN,person,Evi,Eví,Ewi,Ewi
148,אֱוִיל,AT,"wisdom, understanding",fool,tonto / necio,stupide / délaissé,orang bodoh / orang bebal
149,אֱוִיל מְרֹדַךְ,PN,person,Evil-Merodach,Evil-merodac,Ewil-Mérodak,Ewil-Merodakh
150,אוּלַי,PN,nature,Ulai,,Oulaï,sungai Ulai
151,אֱוִלִי,AT,"wisdom, understanding",foolish / worthless / good-for-nothing,torpe / inepto,insensé,bodoh / tidak berguna
152,אוּלָם-1,PN,person,Ulam,Ulam,Oulam,Ulam
153,אוּלָם-2,PN,person,Ulam,Ulam,Oulam,Ulam
154,אִוֶּלֶת,AT,"wisdom, understanding",foolishness / folly,necedad / estupidez,folie,kebodohan / kebebalan
155,אוֹמָר,PN,person,Omar,Omar,Omar,Omar
156,אָוֶן,AT,morals and ethics,mischief / evil,maldad,méchanceté / mal,kenakalan / kejahatan
157,אוֹן-1,PN,settlement,On,On,One,On
158,אוֹן-2,PN,person,On,On,One,On
159,אוֹנוֹ,PN,settlement,Ono,Onó,Ono,Ono
160,אוֹנָם-1,PN,person,Onam,Onam,Onam,Onam
161,אוֹנָם-2,PN,person,Onam,Onam,Onam,Onam
162,אוֹנָן,PN,person,Onan,Onán,Onân,Onan
163,אוּפָז,PN,area,Uphaz,Ufaz,Oufaz,Ufas
164,אוֹפִיר,PN,person,Ophir,Ofir,Ofir,Ofir
165,אוֹפַן עֲגָלָה,RE,agriculture,cart wheel,,roue du chariot,roda gerobak
166,אוּר-1,PN,settlement,Ur,Ur,Our,Ur-Kasdim
167,אוּר-2,PN,person,Ur,Ur,Our,Ur-Kasdim
168,אֲוֵרָה,RE,constructions /  animal husbandry,stall / animal pen,,stalle / enclos,kandang hewan
169,אוּרִי-1,PN,person,Uri,Uri,Ouri,Uri
170,אוּרִי-2,PN,person,Uri,Urí,Ouri,Uri
171,אוּרִי-3,PN,person,Uri,Urí,Ouri,Uri
172,אוּרִיאֵל-1,PN,person,Uriel,Uriel,Ouriël,Uriel
173,אוּרִיאֵל-2,PN,person,Uriel,Uriel,Ouriël,Uriel
174,אוּרִיָּה-1,PN,person,Uriah,Urías,Urie,Uria
175,אוּרִיָּה-2,PN,person,Uriah,Urías,Ouriya,Uria
176,אוּרִיָּה-3,PN,person,Uriah,Urías,Ouriya,Uria
177,אוּרִיָּה-4,PN,person,Uriah,Urías,Ouriya,Uria
178,אוּרִיָּהוּ,PN,person,Uriah,Urías,Ouriyahou,Uria
179,אוֹת-1,RI,signs and wonders,miraculous sign / miracle,señal / señal milagrosa / milagro,signe / prodige,tanda ajaib / tanda mukjizat / keajaiban
180,אוֹת-2,RE,association,sign / standard / banner,bandera / estandarte,signe / bannière,panji / tanda / standar
181,אוֹת-3,RE,monument,sign / souvenir,señal / recuerdo,signe,tanda / petunjuk
182,אֶזְבַּי,PN,person,Ezbai,Esbai,Ezbaï,Esbai
183,אֵזוֹב,FL,religious activities,hyssop / marjoram,hisopo,hysope,hisop
184,אַזְכָּרָה,RI,sacrifices and offerings,memorial or token portion,recordación,partie commémorative ou symbolique / la partie de grain offerte qui est brûlée sur l'autel pour rappeler qu'en fait tout appartient au Seigneur,bagian ingat-ingatan
185,אֻזֵן שֶׁאֱרָה,PN,settlement,Uzzen-Sheerah,Uzén-seerá,Ouzên-Shééra,Uzen-Seera
186,אַזְנוֹת תָּבוֹר,PN,area,Aznoth-Tabor,Aznot-tabor,Aznoth-Tabor,Aznot-Tabor
187,אָזְנִי-1,PN,person,Ozni,Ozní,d'Ozni,Ozni
188,אָזְנִי-2,PN,group,Oznite,Oznita,Oznite,Ozni
189,אֲזַנְיָה,PN,person,Azaniah,Azanías,Azanya,Azanya
190,אֶזְרָח,BE,people,native,nativo,indigène,asli / orang asli Israel
191,אֶזְרָחִי,PN,group,Ezrahite,Ezraíta,Ezrahite,orang Ezrahi
192,אֹחַ,FA,mammals /  wild animals,jackal,chacal,chacal,serigala
193,אַחְאָב-1,PN,person,Ahab,Ahab,Akhab,Ahab
194,אַחְאָב-2,PN,person,Ahab,Ahab,Akhab,Ahab
195,אֶחָב,PN,person,Ahab,Ahab,Akhab,Ahab
196,אַחְבָּן,PN,person,Ahban,Ahbán,Ahbân,Ahban
197,אָחוּ,FL,grasses,reeds,junco / carrizo,herbe / roseaux,alang-alang
198,אֵחוּד,PN,person,Ehud,Ehud,Ehoud,Ehud
199,אֲחוֹחַ,PN,person,Ahoah,Ahóah,Ahoah,Ahoah
200,אֲחוֹחִי,PN,person,Ahohite,Ahohíta,Ahohite,Ahohi
201,אֲחוּמַי,PN,person,Ahumai,Ahumai,Ahoumaï,Ahumai
202,אָחָז-1,PN,person,Ahaz,Ahaz,Akhaz,Ahas
203,אָחָז-2,PN,person,Ahaz,Ahaz,Ahaz,Ahas
204,אַחְזַי,PN,person,Ahzai,Ahzai,Ahzaï,Ahzai
205,אֲחַזְיָה-1,PN,person,Ahaziah,Ocozías,Akhazias,Ahazia
206,אֲחַזְיָה-2,PN,person,Ahaziah,Ocozías,Akhazias,Ahazia
207,אֲחַזְיָהוּ-1,PN,person,Ahaziah,Ocozías,Akhazias,Ahazia
208,אֲחַזְיָהוּ-2,PN,person,Ahaziah,Ocozías,Akhazias,Ahazia
209,אֲחֻזָּם,PN,person,Ahuzzam,Ahuzam,Ahouzzam,Ahuzam
210,אֲחֻזַּת,PN,person,Ahuzzath,Ahuzat,Ahouzzath,Ahuzat
211,אֵחִי,PN,person,Ehi,Ehi,Ehi,Ehi
212,אֲחִי-1,PN,person,Ahi,Ahí,Ahi,Ahi
213,אֲחִי-2,PN,person,Ahi,Aguí,Ahi,Ahi
214,אֲחִיאָם,PN,person,Ahiam,Ahiam,Ahiam,Ahiam
215,אֲחִיָּה-1,PN,person,Ahijah,Ahías,Ahiyya,Ahia
216,אֲחִיָּה-2,PN,person,Ahijah,Ahías,Ahiyya,Ahia
217,אֲחִיָּה-3,PN,person,Ahijah,Ahías,Ahiyya,Ahia
218,אֲחִיָּה-4,PN,person,Ahijah,Ahías,Ahiyya,Ahia
219,אֲחִיָּה-5,PN,person,Ahijah,Ahías,Ahiyya,Ahia
220,אֲחִיָּה-6,PN,person,Ahijah,Ahías,Ahiyya,Ahia
221,אֲחִיָּה-7,PN,person,Ahijah,Ahías,Ahiyya,Ahia
222,אֲחִיָּה-8,PN,person,Ahijah,Ahías,Ahia,Ahia
223,אֲחִיָּה-9,PN,person,Ahijah,Ahías,Ahiyya,Ahia
224,אֲחִיָּהוּ,PN,person,Ahijah,Ahías,Ahiyya,Ahia
225,אֲחִיהוּד,PN,person,Ahihud,Ahihud,Ahihoud,Ahihud
226,אַחְיוֹ-1,PN,person,Ahio,Ahió,Ahyo,Ahyo
227,אַחְיוֹ-2,PN,person,Ahio,Ahió,Ahyo,Ahyo
228,אַחְיוֹ-3,PN,person,Ahio,Ahió,Ahyo,Ahyo
229,אֲחִיחֻד,PN,person,Ahihud,Ahihud,Ahihoud,Ahihud
230,אֲחִיטוּב-1,PN,person,Ahitub,Ahitub,Ahitouv,Ahitub
231,אֲחִיטוּב-2,PN,person,Ahitub,Ahitub,Ahitouv,Ahitub
232,אֲחִיטוּב-3,PN,person,Ahitub,Ahitub,Ahitouv,Ahitub
233,אֲחִיטוּב-4,PN,person,Ahitub,Ahitub,Ahitouv,Ahitub
234,אֲחִילוּד-1,PN,person,Ahilud,Ahilud,Ahiloud,Ahilud
235,אֲחִילוּד-2,PN,person,Ahilud,Ahilud,Ahiloud,Ahilud
236,אֲחִימוֹת,PN,person,Ahimoth,Ahimot,Ahimoth,Ahimot
237,אֲחִימֶלֶךְ-1,PN,person,Ahimelech,Ahimélec,Ahimélek,Ahimelekh
238,אֲחִימֶלֶךְ-2,PN,person,Ahimelech,Ahimélec,Ahimélek,Ahimelekh
239,אֲחִימֶלֶךְ-3,PN,person,Ahimelech,Ahimélec,Ahimélek,Ahimelekh
240,אֲחִימַן-1,PN,person,Ahiman,Ahimán,Ahimân,Ahiman
241,אֲחִימַן-2,PN,person,Ahiman,Ahimán,Ahimân,Ahiman
242,אֲחִימַעַץ-1,PN,person,Ahimaaz,Ahimaas,Ahimaaç,Ahimaas
243,אֲחִימַעַץ-2,PN,person,Ahimaaz,Ahimaas,Ahimaaç,Ahimaas
244,אֲחִימַעַץ-3,PN,person,Ahimaaz,Ahimaas,Ahimaaç,Ahimaas
245,אַחְיָן,PN,person,Ahian,Ahián,Ahyân,Ahyan
246,אֲחִינָדָב,PN,person,Ahinadab,Ahinadab,Ahinadav,Ahinadab
247,אֲחִינֹעַם-1,PN,person,Ahinoam,Ahinóam,Ahinoam,Ahinoam
248,אֲחִינֹעַם-2,PN,person,Ahinoam,Ahinóam,Ahinoam,Ahinoam
249,אֲחִיסָמָךְ,PN,person,Ahisamach,Ahisamac,Ahisamak,Ahisamakh
250,אֲחִיעֶזֶר-1,PN,person,Ahiezer,Ahiézer,Ahiézer,Abiezer / Ahiezer
251,אֲחִיעֶזֶר-2,PN,person,Ahiezer,Ahiézer,Ahiézer,Ahiezer
252,אֲחִיקָם,PN,person,Ahikam,Ahicam,Ahiqam,Ahikam
253,אֲחִירָם,PN,person,Ahiram,Ahiram,Ahiram,Ahiram
254,אֲחִירָמִי,PN,person,Ahiramite,Ahiram,Ahiramites,Ahiram
255,אֲחִירַע,PN,person,Ahira,Ahirá,Ahira,Ahira
256,אֲחִישַׁחַר,PN,person,Ahishahar,Ahisáhar,Ahishahar,Ahisahar
257,אֲחִישָׁר,PN,person,Ahishar,Ahisar,Ahishar,Ahisar
258,אֲחִיתֹפֶל,PN,person,Ahithophel,Ahitófel,Ahitofel,Ahitofel
259,אַחְלָב,PN,settlement,Ahlab,Ahlab,Ahlav,Ahlab
260,אַחְלַי-1,PN,person,Ahlai,Ahlai,Ahlaï,Ahlai
261,אַחְלַי-2,PN,person,Ahlai,Ahlai,Ahlaï,Ahlai
262,אַחְלָמָה,RE,value,amethyst / jasper,amatista,améthyste,batu permata / amber atau lazuardi
263,אַחְמְתָא (AR),PN,settlement,Ecbatana,Ecbatana,Ecbatane,Ahmeta
264,אֲחַסְבַּי,PN,person,Ahasbai,Ahasbai,Ahasbaï,Ahasbai
265,אַחְרַח,PN,person,Aharah,Ahrah,Ahra,Ahrah
266,אֲחַרְחֵל,PN,person,Aharhel,Aharhel,Aharhel,Aharhel
267,אֲחַשְׁוֵרוֹשׁ,PN,person,Ahasuerus / Xerxes,Asuero,Xerxès,Ahasyweros
268,אָטָד,FL,trees /  weeds and thorns,thorn / thistle / brier,espina / cardo,chardon / épine,semak duri
269,אֵטוּן,RE,cloth,linen,lino,lin,kain lenan / seperei
270,אָטֵר-1,PN,person,Ater,Ater,Atér,Ater
271,אָטֵר-2,PN,person,Ater,Ater,Atér,Ater
272,אִי,FA,"mammals; wild animals; violence, harm, destroy, kill",hyena or jackal,chacal,hyène,serigala
273,אַיָּה-1,FA,birds,falcon or hawk,halcón / gavilán,faucon,burung elang / burung buas
274,אַיָּה-2,PN,person,Aiah,Aiá,Ayya,Aya
275,אַיָּה-3,PN,person,Aiah,Aiá,Ayya,Aya
276,אִיּוֹב,PN,person,Job,Job,Job,Ayub
277,אִיזֶבֶל,PN,person,Jezebel,Jezabel,Jézabel,Izebel
278,אִיכָבוֹד,PN,person,Ichabod,Icabod,Ikavod,Ikabod
279,אַיָּל,FA,mammals /  wild animals,fallow deer,ciervo / venado,cerf / biche,rusa
280,אַיִל-1,FA,mammals /  domestic animals,ram,carnero,bélier,domba jantan
281,אַיִל-2,AT,strength,leader / chief,poderoso,térébinthe / bélier / pilier / puissant,pemimpin / kepala
282,אַיִל-3,FL,trees,terebinth,encina sagrada / roble sagrado,térébinthe,pohon keramat
283,אַיִל-4,RE,construction,side wall / entrance / jamb,pilar,pilier / mur,tiang pintu / ambang pintu
284,אֵיל פָּארָן,PN,settlement,El Paran,El-parán,Eil-Parân,El-Paran
285,"אַיָּלָה, אַיֶּלֶת",FA,mammals /  wild animals,female fallow deer / doe,cierva o gamo común,gazelle / biche,rusa betina
286,אַיָּלוֹן-1,PN,settlement,Aijalon,Aialón,Ayyalôn,Ayalon
287,אַיָּלוֹן-2,PN,settlement,Aijalon,Aialón,Elôn,Ayalon
288,אֵילוֹן-1,PN,person,Elon,Elón,Elôn,Elon
289,אֵילוֹן-2,PN,settlement,Elon,Elón,Elôn,Elon
290,אֵילוֹן-3,PN,person,Elon,Elón,Elôn,Elon
291,אֵילוֹת,PN,settlement,Eloth,Elat,Eilath,Elot
292,אֵילִם,PN,settlement,Elim,Elim,Elim,Elim
293,אֵילַת,PN,settlement,Elath,Elat,Eilath,Elat
294,אֵימָה,AT,attitudes and emotions,terror / dread,terror,terreur / crainte,ketakutan / kengerian
295,אֵימִים,PN,group,Emim / Emites,Emitas,Emites,Emim
296,אִיעֶזֶר,PN,person,Iezer,Iézer,Iézer,Iezer
297,אִיעֶזְרִי,PN,person,Iezrite,Jezerita,Iézérites,Iezer
298,אִישׁ בֹּשֶׁת,PN,person,Ish-Bosheth,Is-bóset,Ishbosheth,Isyot
299,אִישְׁהוֹד,PN,person,Ishhod,Is-hod,Ishehod,Isyhod
300,אִישַׁי,PN,person,Jesse,Jesé,Jessé,Isai
301,אִיתַי,PN,person,Ithai,Itai,Itaï,Itai
302,אִיתִיאֵל-1,PN,person,Ithiel,Itiel,Itiël,Itiel
303,אִיתִיאֵל-2,PN,person,Ithiel,Itiel,Itiël,Itiel
304,אִיתָמָר,PN,person,Ithamar,Itamar,Itamar,Itamar
305,אֵיתָן-1,PN,person,Ethan,Etán,Etân,Etan
306,אֵיתָן-2,PN,person,Ethan,Etán,Etân,Etan
307,אֵיתָן-3,PN,person,Ethan,Etán,Etân,Etan
308,אֵיתָן-4,PN,person,Ethan,Etán,Etân,Etan
309,אַכַּד,PN,settlement,Accad,Acad,Akkad,Akad
310,אַכְזִיב-1,PN,settlement,Achzib,Aczib,Akziv,Akhzib
311,אַכְזִיב-2,PN,settlement,Achzib,Aczib,Akziv,Akhzib
312,אָכִישׁ,PN,person,Achish,Aquís,Akish,Akhis
313,אֻכָל,PN,person,Ucal,Ucal,Oukal,Agur
314,אַכְשָׁף,PN,settlement,Achshaph,Acsaf,Akshaf,Akhsaf
315,אֵל,BE,supernatural beings and powers,god / God,dios / Dios,puissance / dieu,Allah Israel / allah lain
316,אֵל עֶלְיֹון,BE,supernatural beings and powers /  titles,El Elyon / God Most High,altísimo,Très-Haut,El Elyon / Tuhan Yang MahaTinggi
