,word,Unnamed: 2,domains,english,spanish,french,indonesian
27,ἁγνεία,AT,"clean, pure, holy; morals and ethics",being without moral defect / purity,pureza,pureté morale,
28,ἁγνισμός,AT,"rituals; clean, pure, holy",purification,purificación,purification,
29,ἁγνίζω,AT,"rituals; clean, pure, holy",to purify,purificar,purifier / nettoyer,
30,ἁγνός,AT,"clean, pure, holy; morals and ethics",pure / without defect,puro,pur / saint / chaste / innocent,
31,ἁγνότης,AT,"clean, pure, holy; morals and ethics",being without moral defect / purity,pureza,pureté / sincerité,
32,ἀγοραῖος,RE,court,court / court of justice,audiencia,traînard,pengadilan
33,ἀγοράζω,AT,"help, protect, save",redeem / set free,comprar,acheter / racheter / payer la rançon,
34,ἀγριέλαιος,FL,trees /  fruits,wild olive tree,olivo silvestre,de l'olivier sauvage,
35,Ἀγρίππας,PN,person,Agrippa,Agripa,Agrippa,
36,ἀγωγή,AT,behavior,behavior / conduct,conducta,manière de vivre / conduite,
37,Ἀδάμ,PN,person,Adam,Adán,Adam,
38,Ἀδδί,PN,person,Addi,Adí,Addi,
39,ἀδελφή,BE,people /  kinship /  affection,sister,hermana,soeur / soeur en Christ,
40,ἀδελφός,BE,people /  kinship /  affection,brother,hermano,frère / frère en Christ / compatriote / camarade,
41,ἀδελφότης,BE,people /  groups /  affection /  association,brotherhood,hermandad,communauté,
42,ἀδικέω,AT,morals and ethics,act unjustly / do what is wrong / mistreat,cometer injusticia / hacer daño,nuire / traiter injustement / faire du tort / faire mal ou le mal / être en tort / être coupable,
43,ἀδικία,AT,morals and ethics,unjust deed / unrighteousness / doing what is unjust,injusticia,méfaits / mal / péché / injustice,
44,ἀδίκημα,AT,morals and ethics,unrighteous act / crime,acto de injusticia / crimen,crime / péché / tort,
45,ἀδίκως,AT,morals and ethics,unjust / unjustly / unrighteous,injustamente,adv. injustement,
46,Ἀδμίν,PN,person,Admin,Admín,Admîn,
47,Ἀδραμυττηνός,PN,person,of Adramyttium,Adramitio,Adramyttium,
48,Ἀδρίας,PN,nature,Adriatic Sea,Adriático,Adriatique,
49,ἀετός,FA,birds,eagle / vulture,águila / buitre,aigle / vautour,
50,Ἀζώρ,PN,person,Azor,Azor,Azor,
51,ἀθέμιτος,AT,morals and ethics,disgusting / bad,ilícito / contrario a la ley,défendu / abominable,
52,Ἀθηναῖος,PN,group,Athenian / person from Athens,Ateniense,Athéniens / habitants d'Athènes,orang Atena
53,Ἀθῆναι,PN,settlement,Athens,Atenas,Athènes,Atena
54,Αἰγύπτιος,PN,group,Egyptian / person from Egypt,Egipcio,Égyptien,
55,Αἰθίοψ,PN,group,Ethiopian,Etíope,Ethiopie,
56,αἱματεκχυσία,MI,life and death /  body,shedding of blood,derramamiento de sangre,verser le sang,
57,αἱμορροέω,MI,life and death /  body,bleed,,saigner,berdarah
58,Αἰνέας,PN,person,Aeneas,Eneas,Enée,
59,Αἰνών,PN,area,Aenon,Enón,Aïnôn,
60,αἰών,AT,universe,universe / age / era,siglo / época / eterno,époque / ordre mondial / eternité / Aeon / existence / la vie présente,
61,αἰώνιος,AT,time,eternal,eterno,eternel,
62,αἴγειος,FA,mammals /  domestic animals,of a goat,de cabra,de chèvre,kambing
63,Αἴγυπτος,PN,area,Egypt,Egipto,Egypte,Mesir
64,ἀΐδιος,AT,time,eternal,eterno,eternal,
65,αἷμα,MI,life and death /  body /  parts,blood / murder / death,sangre,sang / mort / meurtre,darah / pembunuhan / kematian
66,ἀκαθαρσία,AT,"clean, pure, holy",impurity / uncleanness,impureza,impureté / immoralité / motif impur / obscénité / pourriture,
67,ἀκατάγνωστος,AT,morals and ethics,beyond reproach,intachable / irreprochable,au-dessus de toute critique,
68,ἀκάθαρτος,AT,"clean, pure, holy",unclean / impure,impuro,impur / souillé / sans relation avec Dieu,
69,ἀκάνθινος,FL,weeds and thorns,thorny / of thorns,espinosa,d'épines / épineux,
70,Ἁκελδαμάχ,PN,area,Akeldama,Hacéldama,Hakeldama,
71,ἀκέραιος,AT,"clean, pure, holy",pure,sin mezcla / puro,innocent / non coupable / pur,
72,ἀκρίς,FA,"insects, spiders, and worms",grasshopper / locust,langosta,sauterelle,
73,ἀκροατήριον,RE,constructions,audience hall / auditorium,sala de audiencias,salle d'audienc,
74,ἀκροβυστία,BE,people /  groups /  rituals,uncircumcised / Gentiles / the Gentile world,incircuncisión,inciconcision,
75,ἀκρογωνιαῖος,RE,constructions,cornerstone / important stone,piedra angular,pierre angulaire / clé de voûte,batu penjuru / batu yang dipilih / batu yang terutama
76,Ἀκύλας,PN,person,Aquila,Aquila,Aquilas,
77,ἀλάβαστρος,RE,artifacts,alabaster jar,,flacon d’albâtre,buli pualam
78,ἀλείφω,RI,anoint /  perfumes and spices,anoint,ungir,oindre,
79,Ἀλεξανδρεύς,PN,group,Alexandrian,Alejandrino,Alexandrie,
80,Ἀλεξανδρῖνος,PN,group,Alexandrian,Alejandrino,Alexandrie,dari Aleksandria
81,ἀλέκτωρ,FA,birds /  domestic animals,rooster / cock,gallo,coq,
82,Ἀλέξανδρος-1,PN,person,Alexander,Alejandro,Alexandre,
83,Ἀλέξανδρος-2,PN,person,Alexander,Alejandro,Alexandre,
84,Ἀλέξανδρος-3,PN,person,Alexander,Alejandro,Alexandre,
85,Ἀλέξανδρος-4,PN,person,Alexander,Alejandro,Alexandre,
86,Ἀλέξανδρος-5,PN,person,Alexander,Alejandro,Alexandre,
87,ἀληθεύω,AT,truth /  communication,speak the truth / hold to the truth,decir la verdad,dire la vérité / être honnête,
88,ἀληθής,AT,truth,true / truthful,verdadero / sincero / real / auténtico / honrado,vrai / véridique / honnête / réel / authentique,
89,ἀληθινός,AT,truth,true / real,verdadero,réel / authentique / vrai / digne de,
90,ἀληθῶς,AT,truth,truly / genuine,verdaderamente,adv. vraiment / en vérité / effectivement / assurément,sungguh / sesungguhnya / pasti
91,ἀλήθεια,AT,truth,truth / truthfulness,verdad,vérité / sincérité / realité,
92,ἀλίσγημα,RE,"clean, pure, holy; supernatural beings and powers",a thing defiled,contaminación,saleté / pollution,
93,ἀλλόφυλος,BE,people /  association /  groups,foreigner / Gentile / heathen / pagan,extranjero,étranger,
94,ἀλόη,RE,artifacts /  perfumes and spices,aloes,áloe,aloés,
95,Ἁλφαῖος-1,PN,person,Alphaeus,Alfeo,Alphée,Alfeus
96,Ἁλφαῖος-2,PN,person,Alphaeus,Alfeo,Alphée,Alfeus
97,ἀλώπηξ,FA,mammals,fox / jackal,zorro,renard,
98,ἁμαρτάνω,AT,morals and ethics,sin / do wrong,pecar,pécher,
99,ἁμαρτία,AT,morals and ethics,sin / wrongdoing,pecado,péché,
100,ἁμαρτωλός,BE,people /  behavior /  morals and ethics,sinful / sinner,pecador,coupable / pécheur,
101,ἁμάρτημα,AT,morals and ethics,sin / wrongdoing,pecado,péché,
102,ἀμεταμέλητος,AT,"atone, forgive",not to be regretted / not regretful,irrevocable,qu'on ne regrette pas,
103,ἀμέμπτως,AT,morals and ethics,blamelessly,intachablemente,adv. De façon irréprochable,
104,ἀμήν,AT,truth,truly / indeed / amen,amén / ciertamente,amen,
105,Ἀμιναδάβ,PN,person,Amminadab,Aminadab,Aminadab,
106,ἀμίαντος,AT,"clean, pure, holy",undefiled,sin mancha,pur / sans souillure / non souillé,
107,ἀμνός,FA,mammals,lamb,cordero,agneau,
108,ἀμπελών,FL,fruits,vineyard / orchard of grapevines,viñedo,vignoble,
109,Ἀμπλιᾶτος,PN,person,Ampliatus,Ampliato,Ampliatus,Ampliatus
110,ἀμφίβληστρον,RE,artifacts,casting-net,red,filet de pêche,
111,Ἀμφίπολις,PN,settlement,Amphipolis,Anfípolis,Amphipolis,
112,ἀμώμητος,AT,morals and ethics,blameless,irreprochable,innocent / irréprochable,
113,Ἀμών,PN,person,Amon,Amón,Amôn,
114,Ἀμώς,PN,person,Amos,Amós,Amôs,
115,ἀναβαθμός,RE,constructions,step / flight of steps / stairs,escalinata / grada,marches,
116,ἀνακρίνω,MI,intellect,examine / question / discern / judge / be discerned,examinar / juzgar / preguntar,interroger / examiner / juger / évaluer / se donner des airs de juge concernant qqch / demander des comptes à,
117,ἀναμάρτητος,AT,morals and ethics,without sin / guiltless,sin pecado,sans péché / innocent,
118,Ἁνανίας-1,PN,person,Ananias,Ananías,Ananias,
119,Ἁνανίας-2,PN,person,Ananias,Ananías,Ananias,
120,Ἁνανίας-3,PN,person,Ananias,Ananías,Ananias,
121,ἀναστρέφω,AT,behavior,conduct oneself / behave,conducirse / vivir,revenir / pass. vivre / se comporter / rester / vivre,
122,ἀναστροφή,AT,behavior,conduct / manner of life,conducta / forma de vida,façon d'être / comportement,
123,ἀνάγαιον,RE,constructions,upstairs room,cuarto en el piso de arriba,chambre haute,
124,ἀνάκρισις,MI,court,investigation,investigación,audience préliminaire / enquête,
125,ἀνάστασις,AT,life and death,resurrection,levantamiento,résurrection,
126,ἀνδραποδιστής,BE,people /  authority /  control,slave dealer,traficante de varones,kidnappeur / marchand d'esclaves,
127,Ἀνδρέας,PN,person,Andrew,Andrés,André,
128,Ἀνδρόνικος,PN,person,Andronicus,Andrónico,Andronicus,
129,ἀνελεήμων,AT,compassion,merciless,despiadado,sans pitié,
130,ἀνεπίλημπτος,AT,morals and ethics,without fault / beyond reproach,irreprochable,au-dessus de tout reproche,
131,ἀνέγκλητος,AT,morals and ethics,without reproach / blameless,irreprensible,au-dessus de tout reproche / sans défaut,
132,ἀνέλεος,AT,compassion,merciless,sin misericordia,impitoyable,
133,ἀνομία,AT,morals and ethics /  behavior,lawlessness / lawless deeds,iniquidad,méchanceté / illégalité / péché,
134,ἀνόμως,AT,morals and ethics,without the Law,sin ley,adv. sans la loi juive,
135,ἀντιδικος,BE,supernatural beings and powers,adversary / enemy,adversario / enemigo,opposant à la loi / ennemi,musuh
136,Ἀντιοχεύς,PN,person,Antiochean,Antioqueño / de Antioquía,Antioche,
137,Ἀντιόχεια-1,PN,settlement,Antioch,Antioquía,Antioche,
138,Ἀντιόχεια-2,PN,settlement,Antioch,Antioquía,Antioche,
139,Ἀντιπατρίς,PN,settlement,Antipatris,Antípatris,Antipatris,
140,Ἀντιπᾶς,PN,person,Antipas,Antipas,Antipas,Antipas
141,ἀντίλυτρον,MI,"help, protect, save",ransom / means of release,rescate,rançon / moyens de rendre la liberté,
142,ἀντίχριστος,BE,people /  antichrist,antichrist,anticristo / el que se opone a Cristo,Antichrist,
143,ἀνυπόκριτος,AT,truth,unhypocritical / without hypocrisy / genuine,sin hipocresía / sincero,sincère / véritable,
144,ἀξίνη,RE,artifacts,axe,hacha,hache,
145,"ἀπ᾽ αἰῶνος, (ἀπὸ) τῶν αἰώνων, ἐκ τοῦ αἰῶνος",AT,time,since all time / from all ages past / from the beginning of time,desde siglos / desde siempre,depuis toujours / au long des âges,
146,ἀπαλλάσσω,AT,"atone, forgive",set free / release / settle with,liberar / alejarse,trans. libérer / intrans. quitter / partir,
147,ἀπείραστος,AT,morals and ethics,not tempted,no tentable,incapable d'être tenté,
148,Ἀπελλῆς,PN,person,Apelles,Apeles,Apelles,Apeles
149,ἀπιστέω,AT,faith,disbelieve / be unfaithful,no creer,ne pas réussir ou refuser de croire / être ou s'avérer être un infidèle,
150,ἀπιστία,AT,faith,unbelief,incredulidad,incrédulité / infidélité,
151,ἀπογραφή,MI,census,census,censo / registro,enregistrement / recensement,
152,ἀπογράφω,MI,census,register / put on a census list,inscribir / empadronar,s'enregisrer / s'engager,
153,ἀποδιορίζω,AT,conflict,creating divisions,causar divisiones,causer des divisions,
154,ἀποδοκιμάζω,AT,truth,reject,desechar / desaprobar,rejeter,
155,ἀποθήκη,RE,constructions,barn / storehouse,granero,grange / grenier,
156,ἀποκαταλλάσσω,AT,"atone, forgive",reconcile,reconciliar,réconcilier,
157,Ἀπολλύων,PN,supernatural beings and powers,Apollyon / Destroyer,Apilión,Apollyôn / Destructeur,
158,Ἀπολλωνία,PN,settlement,Apollonia,Apolonia,Apollonie,
159,Ἀπολλῶς,PN,person,Apollos,Apolo,Apollos,Apolos
160,ἀπολύτρωσις,MI,"help, protect, save",liberation / deliverance / redemption,liberación,libération / delivrance / décharge,
161,ἀπολύω,AT,"atone, forgive",forgive / pardon,perdonar,décharger / libérer / renvoyer / chasser / divorcer / pardonner / midd. quitter,
162,ἀποστολή,BE,people /  communication,apostleship,apostolado,apostolat / mission,
163,ἀποσυναγωγος,RE,community /  separation /  religious activities,expelled from the synagogue,expulsado de la sinagoga,excommunier ou bannir de la synagogue,dikucilkan / tidak boleh masuk rumah ibadat lagi
164,ἀπόκριμα,MI,"court; guilt, responsibility",verdict / sentence,sentencia,sentence,
165,ἀπόστολος,BE,people /  communication,messenger / apostle,apóstol,apôtre,
166,Ἀππίου Φόρον,PN,settlement,Forum of Appius,Foro de Apio,Forum d'Appius / Marché d'Appius,
167,Ἀπφία,PN,person,Apphia,Apia,Apphia,
168,ἀπώλεια,AT,universe,destruction,destrucción,destruction,
169,Ἀραβία,PN,area,Arabia,Arabia,Arabie,
170,Ἀράμ,PN,person,Aram,Aram,Aram,
171,ἀργός,AT,purpose,idle / unemployed / lazy / useless / careless / ineffective,inútil / improductivo / sin trabajo,désoeuvré / sans travail / paresseux / négligent / inefficace / inutile,
172,Ἁρέτας,PN,person,Aretas,Aretas,Arétas,
173,ἀρήν,FA,mammals,lamb,cordero,agneau,
174,Ἁριμαθαία,PN,settlement,Arimathea,Arimatea,Arimathée,
175,Ἀριστόβουλος,PN,person,Aristobulus,Aristóbulo,Aristobule,
176,Ἀρίσταρχος,PN,person,Aristarchus,Aristarco,Aristarque,
177,Ἁρμαγεδών,PN,nature,Armageddon,Harmagedón,Harmaguedôn,
178,ἁρμόζω,RI,marriage,promise in marriage / betrothe,prometer en matrimonio,fiancer / promettre en mariage,
179,ἀρνίον,FA,mammals,lamb,cordero,agneau,
180,Ἀρνί,PN,person,Arni,Arní,Arni,
181,Ἀρτεμᾶς,PN,person,Artemas,Artemas,Artémas,Artemas
182,ἀρτέμων,RE,artifacts,sail,vela delantera,voile d'artimon,
183,Ἀρφαξάδ,PN,person,Arphaxad,Arfaxad,Arphaxad,
184,Ἀρχέλαος,PN,person,Archelaus,Arquelao,Archélaüs,
185,ἀρχή,BE,people /  authority,ruler,principado,commencement / début / origine / première cause / puissance de régner / autorité / souverain / ce qui est élémentaire / principe élémentaire / angle,
186,ἀρχιερεύς,BE,people /  occupations /  priesthood /  authority,chief priest / high priest,sacerdote principal,grand prêtre / membre de la famille des grands sacrificateurs,
187,ἀρχισυναγωγος,RE,authority /  people /  religious activities,leader of a synagogue,jefe de la sinagoga,chef d’une synagogue,kepala rumah ibadat
188,ἀρχιτελώνης,BE,people /  occupations /  authority /  tax,chief tax collector,jefe de recaudadores de impuestos,chef des collecteurs d'impôts,
189,ἀρχιτρίκλινος,BE,people /  occupations /  serve /  authority,head steward / master of feast,jefe del banquete,maître d'hôtel,
190,Ἀσάφ,PN,person,Asaph,Asá,Asa,
191,Ἀσήρ,PN,person,Asher,Aser,Aser,
192,Ἀσιανός,PN,group,Asian,de Asia,de la province d'Asie,
193,Ἀσία,PN,area,Asia,Asia,Asie,
194,ἀσκός,RE,artifacts,wineskin,cueros,outre de vin,
195,ἀσπίς,FA,snakes and lizards,asp / cobra / viper,cobra / serpiente venenosa,serpent,
196,ἀσσάριον,RE,artifacts,assarion / penny,as,assarion,
197,Ἀσσος,PN,settlement,Assos,Aso,Assos,Asos
198,Ἀσύγκριτος,PN,person,Asyncritus,Asíncrito,Asyncrite,
199,ἀσφαλής,AT,truth,something definite / secure,seguro / firme,sans danger / sûr / mesure de précaution / defini / les faits ou la raison,
200,ἀσφαλως,AT,?,something definite / secure,con seguridad / con certeza,en toute sécurité / sous bonne garde / pour sûr,betul-betul
201,ἀσφάλεια,AT,truth,certainty / being without doubt,seguridad / certeza,securité / sûreté / information exacte / pleine vérité,
202,Ἀττάλεια,PN,settlement,Attalia,Atalía,Attalia,
203,Αὐγοῦστος,PN,titles,Augustus,Augusto,Auguste,Agustus
204,αὐθεντέω,AT,authority /  control,have authority / control,tener autoridad o control sobre,dominer / avoir autorité sur,
205,αὐλέω,RE,artifacts,play a flute,tocar la flauta,jouer de la flûte,
206,αὐλητής,RE,artifacts,flutist,flautista,joueur de flûte,
207,αὐλή-1,RE,constructions,sheepfold,patio / redil,une cour intérieure de maison / cour,
208,αὐλή-2,RE,constructions,courtyard / or dwelling / palace / mansion,palacio,une cour intérieure de maison / cour,
209,αὐλός,RE,artifacts,flute,flauta,flûte,
210,αὐτοκατακριτος,MI,"psychological faculties; guilt, responsibility",self-condemned,condenarse a sí mismo,qui se condamne,menghukum dirinya sendiri
211,ἀφεδρών,RE,constructions,latrine / toilet,letrina,latrines,jamban / toilet
212,ἀφθαρτος,AT,time,imperishable / immortal,inmortal / incorruptible,imperissable / immortel,abadi / tidak dapat binasa / tidak fana
213,ἀφιλαργυρος,AT,affection /  wealth,not a lover of money / not greedy,no amante del dinero,qui ne recherche pas l’argent,bukan hamba uang
214,ἀφίημι,AT,"atone, forgive",forgive / forgive a debt,perdonar,annuler / pardonner / remettre / permettre / laisser faire / tolérer / laisser / oublier / abandonner / négliger / laisser aller / congédier / divorcer,
215,Ἀχαΐα,PN,area,Achaia,Acaya,Achaïe,
216,Ἀχαϊκός,PN,person,Achaicus,Acaico,Achaïcus,
217,Ἀχάζ,PN,person,Ahaz,Acaz,Achaz,
218,Ἀχίμ,PN,person,Achim,Aquim,Akhim,
219,Ἅβελ,PN,person,Abel,Abel,Abel,Habel
220,ἄβυσσος,MI,universe,abyss / abode of evil spirits / very deep place,abismo,le monde des morts,jurang maut
221,Ἅγαβος,PN,person,Agabus,Agabo,Agabus,Agabus
222,ἄγγελος,BE,supernatural beings and powers,angel,ángel,ange,malaikat
223,ἄγγος,RE,artifacts,container / vessel,vaso / vasija / recipiente / frasco,panier,pasu / tempayan / bejana
224,ἅγιος-1,AT,"clean, pure, holy",holy / pure / divine,,sacré,kudus / suci
225,ἅγιος-2,AT,"clean, pure, holy; buildings",sanctuary,,sanctuaire,Ruang Kudus
226,ἅγιος-3,AT,"clean, pure, holy; constructions",Holy Place,,Lieu Très Sainte,Ruang Mahakudus
227,ἄγκιστρον,RE,artifacts,fish hook,anzuelo,hameçon,mata kail
228,ἄγκυρα,RE,artifacts,anchor,ancla,ancre,sauh
229,ἄδικος,BE,people /  association /  morals and ethics,unbeliever / not a follower of Christ,injusto,mauvais / pécheur / malhonnête / injuste / un non-croyant,orang jahat / orang tidak benar / orang lalim
230,ἄδολος,AT,"clean, pure, holy",unadulterated / pure,no adulterada / pura,sans mélange / pur,murni
231,Ἄζωτος,PN,settlement,Azotus,Azoto,Azôtos,Asdod
232,ἄθεος,AT,supernatural beings and powers,without God,sin Dios,sans Dieu,tanpa Allah
233,ἄθεσμος,AT,morals and ethics,lawless / unruly / not complying with law,sin ley,corruption morale / sans loi,tak kenal hukum
234,ἄκανθα,FL,"weeds and thorns; trouble, hardship",thorn plant / thistle / brier,espina,buisson épineux,semak duri
235,ἅλυσις,RE,artifacts,chain,cadena,chaîne,rantai
236,ἅλων,RE,constructions,threshing floor,era,aire de battage,tempat pengirikan
237,ἄμεμπτος,AT,morals and ethics,faultless / blameless / innocent,,innocent / irréprochable,
238,ἄμπελος,FL,fruits,grapevine,vid / parra,vigne / vin,pokok anggur
239,ἄμωμος,AT,morals and ethics,unblemished / blameless,irreprochable / intachable,irréprochable / sans défaut,tak bernoda / tidak bercacat / tidak bercela
240,ἄνηθον,FL,agriculture,dill,anís / eneldo,fenouil,adas manis
241,ἄνθος,FL,parts,flower,flor,fleur,bunga rumput
242,ἄνθραξ,FL,fuel,charcoal,carbón,charbon,bara api
243,Ἅννας,PN,person,Annas,Anás,Hanne,Hanas
244,Ἅννα,PN,person,Anna,Ana,Anne,Hana
245,ἄνομος-1,AT,morals and ethics /  behavior,lawless,,malfaiteur / infidèle,pemberontak / penjahat / pendurhaka / yang tidak hidup di bawah hukum Taurat
246,ἄνομος-2,BE,people /  groups /  association,Gentile / heathen / pagan,,gentile / païen,orang bukan Yahudi
247,ἄντλημα,RE,artifacts,pail / bucket,cubo / balde,seau,timba
248,ἄπιστος,AT,faith,faithless / unbelieving,incrédulo,infidèle / incrédule,tidak percaya
249,Ἄραψ,PN,group,Arab / person from Arabia,Árabe,Arabe / d'Arabie / Arabie,orang Arab
250,Ἄρειος Πάγος,PN,nature,Areopagus / council of the Areopagus,Areópago - concilio del Areópago.,Aréopage,
251,ἄρκος,FA,mammals /  wild animals,bear,oso,ours / porter,beruang
252,ἅρμα,RE,artifacts,chariot,carruaje / carro,chariot / char,kereta
253,ἄροτρον,RE,artifacts,plow,arado,charrue,bajak
254,Ἄρτεμις,PN,supernatural beings and powers,Artemis,Artemisa,Artémis,Artemis
255,Ἄρχιππος,PN,person,Archippus,Arquipo,Archippe,Arkhipus
256,ἄρχων-1,BE,people /  authority,ruler / leader / authority,Jefe / líder / gobernante,chef / prince / notable / autorité,pemimpin / penghulu / kepala / pemerintah
257,ἄρχων-2,BE,people /  authority /  court /  law,official / judge / magistrate,juez / magistrado,souverain / fonctionnaire / autorité / juge,pemerintah
258,ἄρωμα,RE,artifacts /  perfumes and spices,aromatic salves / perfumed ointment,aroma,épice ou huile aromatique,rempah
259,ἄσπιλος,AT,communication /  morals and ethics,above criticism / beyond reproach,sin mancha,pur / sans tache,tak bernoda / tidak bercacat
260,ἄσπονδος,AT,"atone, forgive",irreconcilable / unwilling to be at peace with others,implacable,impitoyable,tidak mau berdamai
261,ἄφεσις,AT,"atone, forgive",forgiveness,perdón,pardon / annulation / libération,pengampunan
262,ἄχυρον,FL,parts,chaff,paja,paille,debu jerami
263,ἄψινθος,FL,health,wormwood,ajenjo,et f absinthe,Apsintus
264,ᾅδης,MI,universe,world of the dead / Hades,Hades- mundo de los muertos,Hadès / séjour des morts,alam maut / kerajaan maut
265,Βαβυλών,PN,settlement,Babylon,Babilonia,Babylone,
266,Βαλαάμ,PN,person,Balaam,Balaam,Balaam,
267,Βαλάκ,PN,person,Balak,Balac,Balaq,
268,βαλλάντιον,RE,artifacts,purse / money bag,bolsa,bourse,
269,βαπτισμός,RI,rituals,washing / baptism,lavamiento ritual / bautismo,lavement rituel / ablutions / baptême,
270,βαπτιστής,RI,rituals /  people /  titles,Baptist,Bautista,Baptiste,
271,βαπτίζω,RI,rituals,baptize,bautizar,baptiser / laver,
272,Βαραββᾶς,PN,person,Barabbas,Barrabás,Barabbas,Barabas
273,Βαραχίας,PN,person,Barachiah,Berequías,Barachie,
274,Βαράκ,PN,person,Barak,Barac,Baraq,
275,Βαρθολομαῖος,PN,person,Bartholomew,Bartolomé,Barthélemy,Bartolomeus
276,Βαριησοῦς,PN,person,Bar-Jesus,Barjesús,Bar-Jésus,Baryesus
277,Βαριωνᾶ,PN,person,Bar-Jona / Bar-Jonas,Barjonás,fils de Jonas,Bar-Yona / bin Yunus
278,Βαρναβᾶς,PN,person,Barnabas,Bernabé,Barnabas,Barnabas
279,Βαρσαββᾶς-1,PN,person,Barsabbas,Barsabás,Barsabbas,Barsabas
280,Βαρσαββᾶς-2,PN,person,Barsabbas,Barsabás,Barsabbas,Barsabas
281,Βαρτιμαῖος,PN,person,Bartimaeus,Bartimeo,Bartimée,Bartimeus
282,βασιλεία,MI,authority,kingdom / rule / reign,reino / reinado,régne / pouvoir / royaume / domaine,
283,βασιλεύς,BE,people /  authority,king,rey,roi,
284,βασίλειον,RE,constructions,palace,palacio de los reyes,palais royale,
285,βασίλισσα,BE,people /  authority,queen,reina,reine,
286,Βάαλ,PN,supernatural beings and powers,Baal,Baal,Baal,
287,βάϊον,FL,parts,palm branch,rama de palmera,branche de palmier,
288,βάπτισμα,RI,rituals,baptism,bautismo,baptême,
289,βάρβαρος,BE,people /  groups,foreigner / non-Greek / uncivilized,bárbaro,non-Grec / non civilisé / étranger / indigène,
290,βάτος,FL,weeds and thorns,thorn bush / bush,zarza,bat,
291,βάτραχος,FA,"fish, frogs, and mollusks",frog,rana,grenouille,
292,βδέλυγμα,AT,"morals and ethics; clean, pure, holy",abomination,abominación / cosa detestable / idolatría,abomination,
293,βεβηλόω,AT,"clean, pure, holy",desecrate,profanar,profaner,
294,Βεελζεβούλ,PN,supernatural beings and powers,Beelzebul,Beelzebú,Béelzéboul,
295,Βελιαρ,PN,supernatural beings and powers,Beliar,Belial,Béliar / le diable,Belial
296,βελόνη,RE,artifacts /  tools,needle,aguja,aiguille,
297,Βενιαμίν,PN,person,Benjamin,Benjamín,Benjamin,
298,Βερνίκη,PN,person,Bernice,Berenice,Bérénice,
299,Βεροιαῖος,PN,group,Berean,de Berea,Bérée,orang Berea
300,βέβηλος,AT,"clean, pure, holy; morals and ethics",profane / irreligious,sacrílego,vil / impie / irreligieux,
301,βέλος,RE,artifacts /  weapons,arrow / dart,flecha,flèche,
302,Βέροια,PN,settlement,Berea,Berea,Bérée,
303,Βηθανία-1,PN,settlement,Bethany,Betania,Béthanie,
304,Βηθανία-2,PN,settlement,Bethany,Betania,Béthanie,
305,Βηθζαθά,PN,constructions,Bethzatha,Betzatá,Bethzatha,
306,Βηθλέεμ,PN,settlement,Bethlehem,Belén,Bethléem,
307,Βηθσαϊδά,PN,settlement,Bethsaida,Betsaida,Bethsaïda,
308,Βηθφαγή,PN,settlement,Bethphage,Betfagé,Bethphagé,
