vref,target,reference
GEN 1:14,"¶ And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","¶ And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:"
GEN 1:15,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
GEN 1:16,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also."
GEN 1:17,"And God set them in the firmament of the heaven to give light upon the earth,","And God set them in the firmament of the heaven to give light upon the earth,"
GEN 1:18,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.","And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good."
GEN 1:19,And the evening and the morning were the fourth day.,And the evening and the morning were the fourth day.
GEN 1:20,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven."
GEN 1:21,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.","And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good."
GEN 1:22,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth."
GEN 1:23,And the evening and the morning were the fifth day.,And the evening and the morning were the fifth day.
GEN 1:24,"¶ And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.","¶ And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so."
GEN 1:25,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.","And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good."
GEN 1:26,"¶ And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","¶ And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth."
GEN 1:27,"So God created man in his own image, in the image of God created he him; male and female created he them.","So God created man in his own image, in the image of God created he him; male and female created he them."
GEN 1:28,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth."
GEN 1:29,"¶ And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","¶ And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat."
GEN 1:30,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so."
GEN 1:31,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.","And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day."
GEN 2:1,"Thus the heavens and the earth were finished, and all the host of them.","Thus the heavens and the earth were finished, and all the host of them."
GEN 2:2,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
GEN 2:3,"And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made."
GEN 2:4,"¶ These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,","¶ These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,"
GEN 2:5,"And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.","And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground."
GEN 2:6,"But there went up a mist from the earth, and watered the whole face of the ground.","But there went up a mist from the earth, and watered the whole face of the ground."
GEN 2:7,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul."
GEN 2:8,¶ And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,¶ And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
GEN 2:9,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil."
GEN 2:10,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.","And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads."
GEN 2:11,"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;","The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;"
GEN 2:12,And the gold of that land is good: there is bdellium and the onyx stone.,And the gold of that land is good: there is bdellium and the onyx stone.
GEN 2:13,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.
GEN 2:14,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.
GEN 2:15,"And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.","And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it."
GEN 2:16,"And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:","And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:"
GEN 2:17,"But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.","But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die."
GEN 2:18,"¶ And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.","¶ And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him."
GEN 2:19,"And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof.","And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof."
GEN 2:20,"And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.","And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him."
GEN 2:21,"And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;","And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;"
GEN 2:22,"And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man.","And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man."
GEN 2:23,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.","And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man."
GEN 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.","Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
GEN 2:25,"And they were both naked, the man and his wife, and were not ashamed.","And they were both naked, the man and his wife, and were not ashamed."
GEN 3:1,"Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?","Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?"
GEN 3:2,"And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:"
GEN 3:3,"But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.","But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die."
GEN 3:4,"And the serpent said unto the woman, Ye shall not surely die:","And the serpent said unto the woman, Ye shall not surely die:"
GEN 3:5,"For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.","For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil."
GEN 3:6,"And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.","And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat."
GEN 3:7,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.","And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons."
GEN 3:8,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
GEN 3:9,"And the LORD God called unto Adam, and said unto him, Where art thou?","And the LORD God called unto Adam, and said unto him, Where art thou?"
GEN 3:10,"And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.","And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself."
GEN 3:11,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?","And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?"
GEN 3:12,"And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.","And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat."
GEN 3:13,"And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat.","And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat."
GEN 3:14,"And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:","And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:"
GEN 3:15,"And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.","And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel."
GEN 3:16,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.","Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee."
GEN 3:17,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;","And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;"
GEN 3:18,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
GEN 3:19,"In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return.","In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return."
GEN 3:20,And Adam called his wife’s name Eve; because she was the mother of all living.,And Adam called his wife’s name Eve; because she was the mother of all living.
GEN 3:21,"Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them.","Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them."
GEN 3:22,"¶ And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:","¶ And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:"
GEN 3:23,"Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken.","Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken."
GEN 3:24,"So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.","So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life."
GEN 4:1,"And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD.","And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD."
GEN 4:2,"And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.","And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground."
GEN 4:3,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD.","And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD."
GEN 4:4,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:","And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:"
GEN 4:5,"But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.","But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell."
GEN 4:6,"And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?","And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?"
GEN 4:7,"If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him.","If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him."
GEN 4:8,"And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.","And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him."
GEN 4:9,"¶ And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother’s keeper?","¶ And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother’s keeper?"
GEN 4:10,"And he said, What hast thou done? the voice of thy brother’s blood crieth unto me from the ground.","And he said, What hast thou done? the voice of thy brother’s blood crieth unto me from the ground."
GEN 4:11,"And now art thou cursed from the earth, which hath opened her mouth to receive thy brother’s blood from thy hand;","And now art thou cursed from the earth, which hath opened her mouth to receive thy brother’s blood from thy hand;"
GEN 4:12,"When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth.","When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth."
GEN 4:13,"And Cain said unto the LORD, My punishment is greater than I can bear.","And Cain said unto the LORD, My punishment is greater than I can bear."
GEN 4:14,"Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me.","Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me."
GEN 4:15,"And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him.","And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him."
GEN 4:16,"¶ And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden.","¶ And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden."
GEN 4:17,"And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch.","And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch."
GEN 4:18,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
GEN 4:19,"¶ And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah.","¶ And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah."
GEN 4:20,"And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle.","And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle."
GEN 4:21,And his brother’s name was Jubal: he was the father of all such as handle the harp and organ.,And his brother’s name was Jubal: he was the father of all such as handle the harp and organ.
GEN 4:22,"And Zillah, she also bare Tubal-cain, an instructer of every artificer in brass and iron: and the sister of Tubal-cain was Naamah.","And Zillah, she also bare Tubal-cain, an instructer of every artificer in brass and iron: and the sister of Tubal-cain was Naamah."
GEN 4:23,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt.","And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt."
GEN 4:24,"If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold.","If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold."
GEN 4:25,"¶ And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew.","¶ And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew."
GEN 4:26,"And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD.","And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD."
GEN 5:1,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;","This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;"
GEN 5:2,"Male and female created he them; and blessed them, and called their name Adam, in the day when they were created.","Male and female created he them; and blessed them, and called their name Adam, in the day when they were created."
GEN 5:3,"¶ And Adam lived an hundred and thirty years, and begat a son in his own likeness, after his image; and called his name Seth:","¶ And Adam lived an hundred and thirty years, and begat a son in his own likeness, after his image; and called his name Seth:"
GEN 5:4,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:
GEN 5:5,And all the days that Adam lived were nine hundred and thirty years: and he died.,And all the days that Adam lived were nine hundred and thirty years: and he died.
GEN 5:6,"And Seth lived an hundred and five years, and begat Enos:","And Seth lived an hundred and five years, and begat Enos:"
GEN 5:7,"And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:","And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:"
GEN 5:8,And all the days of Seth were nine hundred and twelve years: and he died.,And all the days of Seth were nine hundred and twelve years: and he died.
GEN 5:9,"¶ And Enos lived ninety years, and begat Cainan:","¶ And Enos lived ninety years, and begat Cainan:"
GEN 5:10,"And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:","And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:"
GEN 5:11,And all the days of Enos were nine hundred and five years: and he died.,And all the days of Enos were nine hundred and five years: and he died.
GEN 5:12,"¶ And Cainan lived seventy years, and begat Mahalaleel:","¶ And Cainan lived seventy years, and begat Mahalaleel:"
GEN 5:13,"And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:","And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:"
GEN 5:14,And all the days of Cainan were nine hundred and ten years: and he died.,And all the days of Cainan were nine hundred and ten years: and he died.
GEN 5:15,"¶ And Mahalaleel lived sixty and five years, and begat Jared:","¶ And Mahalaleel lived sixty and five years, and begat Jared:"
GEN 5:16,"And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:","And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:"
GEN 5:17,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.
GEN 5:18,"¶ And Jared lived an hundred sixty and two years, and he begat Enoch:","¶ And Jared lived an hundred sixty and two years, and he begat Enoch:"
GEN 5:19,"And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:","And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:"
GEN 5:20,And all the days of Jared were nine hundred sixty and two years: and he died.,And all the days of Jared were nine hundred sixty and two years: and he died.
GEN 5:21,"¶ And Enoch lived sixty and five years, and begat Methuselah:","¶ And Enoch lived sixty and five years, and begat Methuselah:"
GEN 5:22,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:","And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:"
GEN 5:23,And all the days of Enoch were three hundred sixty and five years:,And all the days of Enoch were three hundred sixty and five years:
GEN 5:24,And Enoch walked with God: and he was not; for God took him.,And Enoch walked with God: and he was not; for God took him.
GEN 5:25,"And Methuselah lived an hundred eighty and seven years, and begat Lamech:","And Methuselah lived an hundred eighty and seven years, and begat Lamech:"
GEN 5:26,"And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:","And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:"
GEN 5:27,And all the days of Methuselah were nine hundred sixty and nine years: and he died.,And all the days of Methuselah were nine hundred sixty and nine years: and he died.
GEN 5:28,"¶ And Lamech lived an hundred eighty and two years, and begat a son:","¶ And Lamech lived an hundred eighty and two years, and begat a son:"
GEN 5:29,"And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed.","And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed."
GEN 5:30,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:","And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:"
GEN 5:31,And all the days of Lamech were seven hundred seventy and seven years: and he died.,And all the days of Lamech were seven hundred seventy and seven years: and he died.
GEN 5:32,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.","And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth."
GEN 6:1,"And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,","And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,"
GEN 6:2,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.
GEN 6:3,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.","And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years."
GEN 6:4,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown.","There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown."
GEN 6:5,"¶ And GOD saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually.","¶ And GOD saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."
GEN 6:6,"And it repented the LORD that he had made man on the earth, and it grieved him at his heart.","And it repented the LORD that he had made man on the earth, and it grieved him at his heart."
GEN 6:7,"And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them.","And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them."
GEN 6:8,But Noah found grace in the eyes of the LORD.,But Noah found grace in the eyes of the LORD.
GEN 6:9,"¶ These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God.","¶ These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God."
GEN 6:10,"And Noah begat three sons, Shem, Ham, and Japheth.","And Noah begat three sons, Shem, Ham, and Japheth."
GEN 6:11,"The earth also was corrupt before God, and the earth was filled with violence.","The earth also was corrupt before God, and the earth was filled with violence."
GEN 6:12,"And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth.","And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth."
GEN 6:13,"And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth.","And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth."
GEN 6:14,"¶ Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch.","¶ Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch."
