,source,target,alignment_count,Unnamed: 0,vref,verse_score,alignment_score
94,bultos,to,7,4906.714285714285,507.0,0.3694942705104145,0.16756800601476513
95,cabedo,cabedo,3,4202.333333333333,430.3333333333333,0.5753227490198102,0.2762672009475771
96,cabo,cabo,1,6567.0,672.0,0.6759767934194988,0.31492955246968
97,caja,a,2,4004.5,407.0,0.5092312836461891,0.2421124376369725
98,calatayud,calatayud,1,223.0,23.0,0.6288371191670773,0.4979006294169255
99,caliente,water,5,5705.4,585.2,0.4986072989348881,0.15612253611278462
100,calleja,calleja,1,7321.0,744.0,0.5255047076695311,0.2521725129716044
101,calor,hot,4,5397.25,554.75,0.2822419928031612,0.0578786657454183
102,calor,room,3,5883.0,604.3333333333334,0.2735213523074479,0.4979006294169255
103,calurosa,hot,3,4117.0,423.0,0.8600265138726856,0.6113696334557909
104,cambiar,change,4,4850.75,498.5,0.2797754439357332,0.22457532199922497
105,cambiar,rooms,4,4851.75,498.5,0.2797754439357332,0.1035124091070604
106,cambiar,to,4,4849.75,498.5,0.2797754439357332,0.32362481812588983
107,cambiarme,change,6,4323.833333333333,448.0,0.2557025828282252,0.2619117426816812
108,cambiarme,changing,4,3652.25,379.5,0.42516855775656553,0.3527962274445478
109,cambiarme,mind,1,37.0,2.0,0.359105248293688,0.2581955239641904
110,cambiarme,move,5,4821.4,495.4,0.3387324815332158,0.18255872428086703
111,cambiarme,my,5,4029.2,418.4,0.402772587584406,0.19604262616726878
112,cambiarme,rooms,5,4083.2,422.8,0.2442053580147167,0.1121600874727127
113,cambiarme,to,1,2574.0,274.0,0.2043272721549575,0.1742371312736894
114,cambiarnos,can,3,5329.333333333333,550.0,0.377642180888403,0.22709695752143802
115,cambiarnos,change,4,3355.75,347.5,0.26544519215662804,0.30739035998286546
116,cambiarnos,changing,1,4250.0,438.0,0.4528679714098241,0.3504892030941828
117,cambiarnos,move,5,6089.2,624.2,0.38734358500775323,0.23099100264534594
118,cambiarnos,moving,1,9045.0,925.0,0.2482310170743755,0.2790615802962997
119,cambiarnos,our,3,3829.6666666666665,393.3333333333333,0.3538629709415672,0.16042531319247397
120,cantero,cantero,1,424.0,44.0,0.6313243614227552,0.2292509438899304
121,cara,expensive,3,2690.6666666666665,282.3333333333333,0.8707309922121841,0.6113696334557909
122,carmelo,carmelo,1,1932.0,203.0,0.5786807859685205,0.1724954940537492
123,carpio,carpio,1,6117.0,629.0,0.675446496741479,0.359379799422994
124,catorce,four,7,5199.714285714285,535.4285714285714,0.43461945228181403,0.2230620620778752
125,catorce,fourteenth,3,5543.666666666667,571.0,0.5334239143613436,0.20388672716278974
126,catorce,one,6,5479.166666666667,563.3333333333334,0.4336810385398598,0.14120302644586716
127,catorce,please,3,5491.666666666667,565.6666666666666,0.4181707842445959,0.30879453234055837
128,celestino,celestino,1,4742.0,492.0,0.6250019060173977,0.2781631080356349
129,cero,oh,15,4496.866666666667,466.26666666666665,0.4896817000096892,0.20949061206539837
130,cheques,accept,1,4272.0,441.0,0.5654574844500434,0.3848864690678436
131,cheques,traveler,1,4273.0,441.0,0.5654574844500434,0.1548850684034955
132,cheques,you,1,4271.0,441.0,0.5654574844500434,0.4115439250253624
133,ciento,one,2,6620.0,677.5,0.4852702003526058,0.1219697686021297
134,ciento,two,1,6128.0,630.0,0.5319837768199871,0.2767309204379308
135,cinco,five,15,5308.266666666666,545.3333333333334,0.5611878233228328,0.23885378280428032
136,ciudad,town,2,5393.5,554.5,0.5116441623376786,0.10398793290600289
137,coche,car,7,5979.142857142857,615.0,0.4719037899461299,0.47731227796560527
138,colomer,colomer,2,8810.5,898.5,0.6007336976990083,0.3193452423171945
139,completa,day,1,6141.0,631.0,0.5003313111786207,0.3357210344163039
140,completa,full,4,5084.75,524.25,0.5732758986135916,0.09431286036001107
141,con,a,25,4282.52,441.16,0.5036145428802732,0.24853606988269555
142,con,with,81,4567.432098765432,470.320987654321,0.5590592691967015,0.15646680313517736
143,conforme,okay,2,6269.5,640.5,1.0,0.92
144,cornelles,cornelles,2,6240.0,640.0,0.7005733821740322,0.34755041691964894
145,creo,i,8,5790.875,596.75,0.5336395205351743,0.3841635370254386
146,creo,think,8,5791.875,596.75,0.5336395205351743,0.27257156776814834
147,crédito,cards,1,8547.0,871.0,0.7115006165202482,0.6255799214024425
148,cuarto,bathroom,6,6400.166666666667,656.3333333333334,0.46269497785879693,0.11261131132639524
149,cuarto,one,8,6120.25,627.125,0.45352012291062527,0.33853558238083215
150,cuarto,quarter,42,5423.190476190476,557.5238095238095,0.4866370485671113,0.12275444292469712
151,cuatro,four,29,4539.758620689655,468.2758620689655,0.5092086076570599,0.2141186686597682
152,cuatro,fourth,2,6771.5,695.5,0.5050810858640675,0.3214594339743098
153,cuatro,please,2,2510.0,259.5,0.35242485965023723,0.3951656381267284
154,cuatrocientos,four,5,5835.6,600.6,0.43987640522965954,0.15437067336952043
155,cuatrocientos,one,2,6262.0,644.0,0.4555711437891319,0.2345464435946099
156,cuenta,bill,74,4860.5,501.0135135135135,0.5313366730297812,0.2843000712580389
157,cuenta,for,8,4197.75,434.25,0.3840551873364059,0.1669834614484619
158,cuenta,me,3,5025.333333333333,517.6666666666666,0.37530625226307895,0.343559722312847
159,cuenta,please,12,4769.416666666667,491.3333333333333,0.39689292933222314,0.5281058003907221
160,cuesta,does,20,4373.05,450.75,0.6042819536019206,0.2566542006532496
161,cuesta,much,4,4368.0,451.75,0.5788049975352516,0.310532990543175
162,cuándo,when,1,8838.0,902.0,1.0,0.92
163,cuánta,how,1,8361.0,850.0,0.3691735874588029,0.92
164,cuánta,much,1,8362.0,850.0,0.3691735874588029,0.92
165,cuántas,how,2,7492.0,766.0,0.7174662218172478,0.92
166,cuántas,many,2,7493.0,766.0,0.7174662218172478,0.92
167,cuánto,how,35,4219.914285714286,436.2,0.6099779084191083,0.38542742616707204
168,cuánto,much,14,4742.0,487.35714285714283,0.6215876682614171,0.3324441876930494
169,cálida,warmer,1,8774.0,894.0,0.2958354331660024,0.2309655611664734
170,cómo,pardon,1,9412.0,964.0,1.0,0.92
171,dar,give,27,5070.259259259259,524.0,0.46547498290455785,0.18410934765259862
172,dar,me,2,5288.0,549.0,0.44774041501344086,0.21622639502528254
173,dar,us,9,6079.777777777777,626.3333333333334,0.5129876178478496,0.19201316170593785
174,darme,giving,5,5237.4,538.6,0.4964285739110993,0.19327843984574544
175,darme,me,7,4484.714285714285,463.57142857142856,0.48245760325622566,0.15355253930243878
176,darnos,give,7,5109.142857142857,527.0,0.5068391334610503,0.23903787029726484
177,darnos,giving,8,3480.375,361.75,0.49871828641725613,0.21882036472173455
178,darnos,us,14,4417.071428571428,456.64285714285717,0.5039808951529893,0.14383514390840446
179,de,bathroom,6,6401.166666666667,656.3333333333334,0.46269497785879693,0.13153518152599186
180,de,change,6,3836.6666666666665,398.1666666666667,0.24391455666084186,0.24553231998027217
181,de,changing,7,4208.142857142857,435.57142857142856,0.4082548888107234,0.23860691946866974
182,de,credit,1,8546.0,871.0,0.7115006165202482,0.4723824472556986
183,de,for,104,5004.336538461538,514.8557692307693,0.5500277254692479,0.1820842098823701
184,de,in,37,5143.891891891892,529.1891891891892,0.5339151484472705,0.21851298613664363
185,de,key,30,4745.366666666667,490.3333333333333,0.5059212992458921,0.22568079155345877
186,de,keys,2,7543.5,773.5,0.5062789599073125,0.283957667370789
187,de,minibar,1,651.0,68.0,0.4682870749006134,0.2338548813416764
188,de,not,2,6392.5,660.5,0.4628735624688995,0.7059613900040441
189,de,of,1,9712.0,995.0,0.4947880197645696,0.1306555608400634
190,de,registration,8,5707.5,589.5,0.551642066352483,0.3286408402769763
191,de,room,5,4456.8,462.2,0.40536061280420926,0.18932839479761432
192,de,rooms,1,4927.0,510.0,0.1572716143925632,0.4001148373425288
193,de,service,4,4045.0,419.0,0.4387433720840489,0.3144617108167079
194,de,should,22,5631.681818181818,579.9090909090909,0.5412921597086543,0.33969065481592997
195,de,the,47,4795.744680851064,493.4468085106383,0.495838354506917,0.19965085819396147
196,de,to,82,4924.317073170731,508.3414634146341,0.4698384655289606,0.1928451222963525
197,de,travel,12,4638.083333333333,480.0833333333333,0.5215884263054543,0.17858764682022557
198,de,traveler,1,4274.0,441.0,0.5654574844500434,0.4723824472556986
199,del,bill,4,1717.0,180.75,0.3455591991055304,0.4652744447090202
200,del,included,3,3467.6666666666665,362.6666666666667,0.49099607405439877,0.2321302829161176
201,del,mr,16,4456.625,459.5,0.6354475972625534,0.18356211865484456
202,del,phone,7,2466.285714285714,258.7142857142857,0.40788928836933114,0.1574570168346853
203,del,sea,2,4450.0,460.5,0.48431287168727744,0.15013078290069098
204,demasiado,cold,1,9497.0,973.0,0.3111735646336974,0.1217235596298348
205,demasiado,the,1,9498.0,973.0,0.3111735646336974,0.3757824471337758
206,demasiado,too,9,3839.3333333333335,398.1111111111111,0.663476777103318,0.3557258038210573
207,den,give,2,8032.0,818.0,0.4222096113202166,0.18247655574685312
208,denme,give,2,3830.5,398.0,0.526674225046217,0.32192910987640355
209,denme,me,2,3831.5,398.0,0.526674225046217,0.23652692726746727
210,dennos,give,3,6954.333333333333,712.6666666666666,0.5654441633423323,0.3117152496671443
211,dennos,us,3,6955.333333333333,712.6666666666666,0.5654441633423323,0.2288527609049391
212,desayuno,breakfast,4,2637.75,277.5,0.5402602754170188,0.13264649809136958
213,desayuno,included,2,2246.0,238.0,0.4354778554888298,0.7722309926557829
214,deseamos,want,8,6559.875,671.125,0.48528288751973164,0.25168585921401304
215,deseamos,we,8,6558.875,671.125,0.48528288751973164,0.3730584456256672
216,desearía,i,15,5447.933333333333,560.0666666666667,0.5059649130748564,0.3977969464315414
217,desearía,like,19,4993.0526315789475,513.6842105263158,0.4739084951730524,0.18153237274913997
218,desearía,would,16,5570.0,572.0625,0.49451606038833273,0.27880429030870907
219,desearíamos,like,4,6119.25,629.75,0.4262424988509666,0.20925816773509665
220,desearíamos,we,4,6117.75,629.75,0.4262424988509666,0.18204935584016946
221,desearíamos,would,2,5842.0,603.5,0.4784813468285347,0.20804012129569582
222,deseo,i,20,5193.75,535.8,0.5541351829420074,0.3615579421505912
223,deseo,want,23,5350.130434782609,551.4782608695652,0.5301695206598819,0.23327434968882485
224,despertar,up,8,3025.125,316.375,0.3813940469627022,0.2512215088444861
225,despertar,us,10,5003.0,514.6,0.5157720022520353,0.1964359567980906
226,despertar,wake,21,4622.619047619048,476.6190476190476,0.4889903312070767,0.22145697233175413
227,despertara,to,3,4612.0,476.0,0.40921784240516673,0.22215536194037555
228,despertara,wake,4,3632.5,375.0,0.39858871583031663,0.17201369296790855
229,despertaran,to,2,5267.5,540.5,0.41830947245239436,0.14672389843429295
230,despertaran,wake,1,7343.0,746.0,0.4532053146334173,0.1457269615922252
231,despertarme,me,12,4477.25,463.5,0.4745498027616146,0.18733943600637806
232,despertarme,wake,8,3424.125,357.25,0.4594882784364353,0.2894734380179932
233,despertarme,waking,4,6580.5,676.0,0.5046728514119733,0.1612575915377388
234,despertarnos,up,2,3817.0,395.5,0.3623888697439853,0.25680946033050184
235,despertarnos,us,5,4181.4,430.0,0.5036791210149273,0.1547261673173123
236,despertarnos,wake,5,2963.2,308.0,0.45528047469513605,0.1901059241519829
237,despertarnos,waking,3,6188.666666666667,634.3333333333334,0.4977134510508969,0.23907480639943798
238,despertase,to,1,3764.0,390.0,0.3840842143868916,0.2440863259105202
239,despertasen,to,1,2787.0,293.0,0.3986552811067026,0.1966800124759785
240,despierte,wake,1,4368.0,453.0,0.5128583862238548,0.2440863259105202
241,despierten,me,2,6231.5,641.0,0.4520166260590289,0.1691737330415648
242,despierten,wake,4,6841.25,704.25,0.4539490844318861,0.19654740059249162
243,despiérteme,me,4,3775.5,392.0,0.5614761529302026,0.2789876745758807
244,despiérteme,wake,4,3774.5,392.0,0.5614761529302026,0.47385685574347464
245,despiértenme,me,3,5368.666666666667,554.0,0.4998014383254048,0.27954066619228213
246,despiértenme,wake,3,5367.666666666667,554.0,0.4998014383254048,0.49737716053714526
247,despiértennos,us,2,6053.5,620.5,0.5096022813304452,0.28992511650571695
248,despiértennos,wake,2,6052.5,620.5,0.5096022813304452,0.33113490852501504
249,despiértenos,us,7,6884.857142857143,704.0,0.48422316414983996,0.2627161164461008
250,despiértenos,wake,7,6883.857142857143,704.0,0.48422316414983996,0.3797056480125943
251,detalla,bill,1,151.0,15.0,0.3246644066599863,0.3200076404301191
252,detallar,explain,3,2395.6666666666665,251.66666666666666,0.46268702745286694,0.12706480283774016
253,detallar,for,1,3725.0,387.0,0.3873751153838171,0.2924301387040922
254,detallarnos,explain,1,7140.0,728.0,0.4119630135524641,0.3777634649953203
255,diecinueve,april,2,2815.5,295.5,0.5272484563040467,0.20632719015819107
256,diecinueve,nine,5,5989.6,613.0,0.4986194646930861,0.1896205323054596
257,diecinueve,one,5,5988.6,613.0,0.4986194646930861,0.15245066223657788
258,dieciocho,eight,2,6313.5,648.5,0.47179659052573,0.27928518863666707
259,dieciocho,eighteen,2,5273.0,542.0,0.6252122030617075,0.14278741999456285
260,dieciocho,eighteenth,1,3070.0,322.0,0.5395893371710185,0.1642785275869325
261,dieciocho,one,1,3616.0,377.0,0.4727008282067358,0.238288708508106
262,diecisiete,seventeenth,1,4263.0,439.0,0.6595797483646938,0.4179221499374031
263,dieciséis,six,2,2700.5,285.0,0.4190601364832922,0.1257752905892165
264,dieciséis,sixteenth,2,6651.0,682.5,0.5362061928574122,0.1273725687253682
265,diera,give,4,4283.75,443.5,0.3974292452898135,0.1346091834232547
266,diera,to,4,4282.75,443.5,0.3974292452898135,0.12107804348291702
267,dieran,me,1,7390.0,752.0,0.3227832700904792,0.2006624126114761
268,diese,to,1,4870.0,504.0,0.3864422681792382,0.1966800124759785
269,diesen,give,2,6946.5,714.5,0.45257835195847684,0.16101767597669603
270,diesen,to,2,6945.5,714.5,0.45257835195847684,0.19937728993962883
271,diez,oh,2,3281.5,335.5,0.42672218680330487,0.3607223416283629
272,diez,ten,12,5358.166666666667,552.75,0.5371931613514195,0.12477328370444692
273,dinero,accept,4,3908.75,397.25,0.6352257149479358,0.1710746012670242
274,dinero,you,4,3907.75,397.25,0.6352257149479358,0.5812273013253751
275,doble,cost,5,4045.6,418.0,0.595909001363496,0.27196225962653187
276,doble,double,73,4289.424657534247,442.47945205479454,0.5881979186256415,0.16935380914006232
277,dobles,any,1,8581.0,875.0,0.414681326604042,0.293374814141302
278,dobles,double,6,5853.166666666667,599.5,0.5218455990829801,0.280309172633967
279,dobles,rooms,2,7689.5,782.5,0.4384036850739069,0.4020757237295783
280,doce,twelve,8,5518.5,566.25,0.5068571095693859,0.18853589568392903
281,doce,two,2,7410.5,756.5,0.28029178712647845,0.2148628281424419
282,domingo,sunday,2,6563.5,672.5,0.6245207482774536,0.1517035418921152
283,dos,february,1,7724.0,789.0,0.6643431228118988,0.3040060345348337
284,dos,july,1,2440.0,260.0,0.5217329272332644,0.1998121987806429
285,dos,second,1,96.0,8.0,0.4961865970258341,0.1463428603464534
286,dos,two,38,5232.9473684210525,538.2105263157895,0.5556388851369141,0.2357083763597859
287,doscientos,please,1,2517.0,267.0,0.3649848123052694,0.1992444809291987
288,doscientos,two,4,4649.25,480.25,0.35434044379003593,0.13659751838707573
289,ducha,a,1,9209.0,942.0,0.5831075103367674,0.2531297733397801
290,ducha,shower,10,5728.5,590.1,0.5905171289328155,0.16529009843404036
291,dulce,dulce,1,5237.0,543.0,0.5644419382428291,0.2693288964383372
292,dé,give,6,5272.666666666667,545.1666666666666,0.4250112538922961,0.14563262498347598
293,dé,to,6,5271.666666666667,545.1666666666666,0.4250112538922961,0.1430931573123428
294,déme,give,8,4896.75,505.375,0.5261371686965745,0.3419295391126156
295,déme,me,8,4897.75,505.375,0.5261371686965745,0.2597917022791218
296,dénos,give,3,5826.333333333333,600.6666666666666,0.493878220515425,0.35661688836631605
297,dénos,us,3,5827.333333333333,600.6666666666666,0.493878220515425,0.2843086360428256
298,día,day,13,4393.538461538462,453.46153846153845,0.6014182937374654,0.18309369756246965
299,día,on,6,6376.5,655.3333333333334,0.48093442627431315,0.16291680748851642
300,día,per,3,4582.333333333333,470.0,0.6095514634735082,0.09981245537219013
301,día,september,4,6527.5,667.5,0.4638439033444463,0.2103427473127314
302,día,the,1,733.0,77.0,0.4488326771531932,0.581227301325375
303,día,twentyeighth,1,6696.0,684.0,0.446246830473872,0.3530949260196151
304,día,until,3,4649.666666666667,476.3333333333333,0.5538441832462424,0.194021044824074
305,días,days,9,5128.444444444444,527.4444444444445,0.633233019034556,0.281055383750658
306,días,morning,1,9286.0,951.0,0.5176123938256674,0.8625343344626359
307,díaz,díaz,1,7799.0,795.0,0.5286306385775951,0.3357210344163039
308,dónde,where,2,8796.0,897.5,1.0,0.92
309,echara,me,2,2990.5,312.5,0.5072797274952175,0.21190160258495774
310,echara,taking,2,2991.5,312.5,0.5072797274952175,0.19445647970128016
311,echáramos,taking,1,8715.0,888.0,0.514003134237022,0.2023515867115995
312,efectivo,cash,5,5056.6,515.4,0.6344603005527688,0.6480407682862861
313,el,bill,2,5620.0,577.0,0.3451564767750114,0.4723824472556986
314,el,breakfast,2,2244.0,238.0,0.4354778554888298,0.586084935364815
315,el,included,6,4028.3333333333335,418.1666666666667,0.45003207998789324,0.21045984869045345
316,el,luggage,4,3980.0,413.0,0.4497774840444121,0.15220421794841504
317,el,on,37,5198.405405405405,534.8108108108108,0.5135851258307346,0.23810588211972145
318,el,phone,5,2695.8,279.2,0.3481666634103128,0.3209317167447952
319,el,the,29,5094.620689655172,524.4827586206897,0.5002265419648688,0.24359278960546354
320,el,until,16,4410.375,455.0,0.5895063174921216,0.200665949967185
321,el,would,3,6542.333333333333,672.6666666666666,0.317491012104451,0.2633661193767112
322,emilio,emilio,2,7896.0,806.5,0.5649608391431942,0.34086942279163446
323,en,accept,4,3909.75,397.25,0.6352257149479358,0.581227301325375
324,en,expenses,3,2292.3333333333335,239.66666666666666,0.4615739202732156,0.2968612910534734
325,en,extras,1,4914.0,509.0,0.4150865972788598,0.3044916942498258
326,en,in,68,5597.941176470588,575.4852941176471,0.579980197369837,0.2298465834672816
327,en,is,8,5809.125,598.125,0.29056694586229365,0.29767240090495706
328,en,it,5,6210.4,638.4,0.28802830716926847,0.48818893750444137
329,en,oclock,18,5765.777777777777,590.1111111111111,0.5293729043948762,0.1983374280089667
330,enrique,enrique,2,4353.0,446.5,0.574764813175918,0.28416791822746107
331,equipaje,luggage,32,4341.03125,449.25,0.5342648470479524,0.2762192069595997
332,equipaje,our,1,3661.0,382.0,0.5083667771014473,0.2220717935090899
333,equipaje,send,1,5309.0,551.0,0.3928119939925531,0.1107798632251644
334,equipaje,to,8,3893.375,403.75,0.4835716222649244,0.2556822872432064
335,equivocación,mistake,16,5611.625,575.875,0.6429656268214295,0.29244268799895745
336,equivocado,been,7,3925.0,407.57142857142856,0.47119760694138485,0.2758014041981526
337,equivocado,made,7,3926.0,407.57142857142856,0.47119760694138485,0.18985970306835465
338,error,error,11,5889.363636363636,605.7272727272727,0.5916345906741625,0.2844883112080571
339,es,is,19,3495.684210526316,362.2631578947368,0.8307032538220401,0.4708394502162654
340,es,it,1,8387.0,854.0,0.6495811930994894,0.7203192204205592
341,espinosa,espinosa,1,2152.0,229.0,0.5372970594464906,0.2017025882251985
342,esta,this,6,4898.166666666667,507.0,0.6244341283398138,0.39450782901154785
343,esta,tonight,6,5257.0,540.6666666666666,0.5890437749183348,0.163963861645149
344,estación,station,4,4644.0,477.0,0.5790916050784096,0.4850203031920864
345,estamos,date,1,734.0,77.0,0.4488326771531932,0.6855758030036263
346,estoy,do,1,3329.0,352.0,0.5739123882979489,0.5812273013253751
347,está,is,22,3179.5,331.27272727272725,0.5241392388286662,0.6233953089044307
348,están,all,1,281.0,29.0,0.3900086060849702,0.2296347167595018
349,están,are,13,5093.692307692308,525.0,0.5244471543516058,0.5953170800238219
350,están,expenses,1,4000.0,414.0,0.4581464665870797,0.105908890299997
351,están,extras,1,4912.0,509.0,0.4150865972788598,0.105908890299997
352,existe,is,13,5648.153846153846,579.0769230769231,0.590044288309702,0.23835934889892782
353,existe,there,13,5647.153846153846,579.0769230769231,0.590044288309702,0.362195797883257
354,explicar,explain,2,3149.5,330.0,0.5383985668003457,0.39868540318502943
355,explique,explain,1,3452.0,364.0,0.6822903291884344,0.4148436238881284
356,extras,bill,3,5727.666666666667,589.6666666666666,0.5197361273333967,0.5322845428951112
