,vref,source,target,word_score
86,GEN 1:2,and,geist,3.565920719878654e-44
87,GEN 1:2,and,gottes,1.5437433503668534e-42
88,GEN 1:2,and,schwebte,1.5462532769673992e-41
89,GEN 1:2,and,auf,3.5240180370426096e-45
90,GEN 1:2,and,dem,1.54658685774318e-41
91,GEN 1:2,and,wasser,2.98561390540376e-44
92,GEN 1:2,the,und,0.14610905196998894
93,GEN 1:2,the,die,0.04000996343825453
94,GEN 1:2,the,erde,1.3883503167252055e-19
95,GEN 1:2,the,war,1.7214455063498668e-09
96,GEN 1:2,the,wüst,1.54658685774318e-41
97,GEN 1:2,the,und,0.14610905196998894
98,GEN 1:2,the,leer,1.54658685774318e-41
99,GEN 1:2,the,und,0.14610905196998894
100,GEN 1:2,the,es,8.281755466393365e-45
101,GEN 1:2,the,war,1.7214455063498668e-09
102,GEN 1:2,the,finster,0.04574622903481879
103,GEN 1:2,the,auf,0.0012653378537037046
104,GEN 1:2,the,der,0.5841401280850187
105,GEN 1:2,the,tiefe,0.04574622903481879
106,GEN 1:2,the,und,0.14610905196998894
107,GEN 1:2,the,der,0.5841401280850187
108,GEN 1:2,the,geist,1.6349241765840914e-07
109,GEN 1:2,the,gottes,0.022880468413021406
110,GEN 1:2,the,schwebte,0.04484934957762565
111,GEN 1:2,the,auf,0.0012653378537037046
112,GEN 1:2,the,dem,0.0004592514261061671
113,GEN 1:2,the,wasser,2.98561390540376e-44
114,GEN 1:2,earth,und,1.2248831178135886e-44
115,GEN 1:2,earth,die,1.5005573611877436e-44
116,GEN 1:2,earth,erde,0.8862171549333484
117,GEN 1:2,earth,war,1.2248831178135886e-44
118,GEN 1:2,earth,wüst,1.54658685774318e-41
119,GEN 1:2,earth,und,1.2248831178135886e-44
120,GEN 1:2,earth,leer,1.54658685774318e-41
121,GEN 1:2,earth,und,1.2248831178135886e-44
122,GEN 1:2,earth,es,1.2248831178135886e-44
123,GEN 1:2,earth,war,1.2248831178135886e-44
124,GEN 1:2,earth,finster,1.54658685774318e-41
125,GEN 1:2,earth,auf,1.2248831178135886e-44
126,GEN 1:2,earth,der,1.2248831178135886e-44
127,GEN 1:2,earth,tiefe,1.5465797087194255e-41
128,GEN 1:2,earth,und,1.2248831178135886e-44
129,GEN 1:2,earth,der,1.2248831178135886e-44
130,GEN 1:2,earth,geist,3.565920719878654e-44
131,GEN 1:2,earth,gottes,1.5437433503668534e-42
132,GEN 1:2,earth,schwebte,1.5462532769673992e-41
133,GEN 1:2,earth,auf,1.2248831178135886e-44
134,GEN 1:2,earth,dem,1.54658685774318e-41
135,GEN 1:2,earth,wasser,2.98561390540376e-44
136,GEN 1:2,was,und,3.9769558199855035e-06
137,GEN 1:2,was,die,1.5005573611877436e-44
138,GEN 1:2,was,erde,1.222359287002054e-44
139,GEN 1:2,was,war,0.7665888687361028
140,GEN 1:2,was,wüst,1.54658685774318e-41
141,GEN 1:2,was,und,3.9769558199855035e-06
142,GEN 1:2,was,leer,1.54658685774318e-41
143,GEN 1:2,was,und,3.9769558199855035e-06
144,GEN 1:2,was,es,0.11172998918241318
145,GEN 1:2,was,war,0.7665888687361028
146,GEN 1:2,was,finster,1.54658685774318e-41
147,GEN 1:2,was,auf,6.054029172683512e-45
148,GEN 1:2,was,der,6.054029172683512e-45
149,GEN 1:2,was,tiefe,1.5465797087194255e-41
150,GEN 1:2,was,und,3.9769558199855035e-06
151,GEN 1:2,was,der,6.054029172683512e-45
152,GEN 1:2,was,geist,3.565920719878654e-44
153,GEN 1:2,was,gottes,1.5437433503668534e-42
154,GEN 1:2,was,schwebte,1.5462532769673992e-41
155,GEN 1:2,was,auf,6.054029172683512e-45
156,GEN 1:2,was,dem,1.54658685774318e-41
157,GEN 1:2,was,wasser,2.98561390540376e-44
158,GEN 1:2,without,und,0.022888689150487404
159,GEN 1:2,without,die,1.54658685774318e-41
160,GEN 1:2,without,erde,1.54658685774318e-41
161,GEN 1:2,without,war,0.0012111547634542396
162,GEN 1:2,without,wüst,1.54658685774318e-41
163,GEN 1:2,without,und,0.022888689150487404
164,GEN 1:2,without,leer,1.54658685774318e-41
165,GEN 1:2,without,und,0.022888689150487404
166,GEN 1:2,without,es,1.54658685774318e-41
167,GEN 1:2,without,war,0.0012111547634542396
168,GEN 1:2,without,finster,1.54658685774318e-41
169,GEN 1:2,without,auf,1.54658685774318e-41
170,GEN 1:2,without,der,1.54658685774318e-41
171,GEN 1:2,without,tiefe,1.54658685774318e-41
172,GEN 1:2,without,und,0.022888689150487404
173,GEN 1:2,without,der,1.54658685774318e-41
174,GEN 1:2,without,geist,1.54658685774318e-41
175,GEN 1:2,without,gottes,1.54658685774318e-41
176,GEN 1:2,without,schwebte,1.54658685774318e-41
177,GEN 1:2,without,auf,1.54658685774318e-41
178,GEN 1:2,without,dem,1.54658685774318e-41
179,GEN 1:2,without,wasser,1.54658685774318e-41
180,GEN 1:2,form,und,0.03197200773665437
181,GEN 1:2,form,die,1.54658685774318e-41
182,GEN 1:2,form,erde,1.54658685774318e-41
183,GEN 1:2,form,war,1.54658685774318e-41
184,GEN 1:2,form,wüst,1.54658685774318e-41
185,GEN 1:2,form,und,0.03197200773665437
186,GEN 1:2,form,leer,1.54658685774318e-41
187,GEN 1:2,form,und,0.03197200773665437
188,GEN 1:2,form,es,1.54658685774318e-41
189,GEN 1:2,form,war,1.54658685774318e-41
190,GEN 1:2,form,finster,1.54658685774318e-41
191,GEN 1:2,form,auf,1.54658685774318e-41
192,GEN 1:2,form,der,1.54658685774318e-41
193,GEN 1:2,form,tiefe,1.54658685774318e-41
194,GEN 1:2,form,und,0.03197200773665437
195,GEN 1:2,form,der,1.54658685774318e-41
196,GEN 1:2,form,geist,1.54658685774318e-41
197,GEN 1:2,form,gottes,1.54658685774318e-41
198,GEN 1:2,form,schwebte,1.54658685774318e-41
199,GEN 1:2,form,auf,1.54658685774318e-41
200,GEN 1:2,form,dem,1.54658685774318e-41
201,GEN 1:2,form,wasser,1.54658685774318e-41
202,GEN 1:2,and,und,0.46856703561196517
203,GEN 1:2,and,die,0.5938438995168998
204,GEN 1:2,and,erde,1.222359287002054e-44
205,GEN 1:2,and,war,0.007815642366957311
206,GEN 1:2,and,wüst,0.041087226241759145
207,GEN 1:2,and,und,0.46856703561196517
208,GEN 1:2,and,leer,0.041087226241759145
209,GEN 1:2,and,und,0.46856703561196517
210,GEN 1:2,and,es,0.0030129645659542933
211,GEN 1:2,and,war,0.007815642366957311
212,GEN 1:2,and,finster,1.54658685774318e-41
213,GEN 1:2,and,auf,3.5240180370426096e-45
214,GEN 1:2,and,der,3.281363220917859e-45
215,GEN 1:2,and,tiefe,1.5465797087194255e-41
216,GEN 1:2,and,und,0.46856703561196517
217,GEN 1:2,and,der,3.281363220917859e-45
218,GEN 1:2,and,geist,3.565920719878654e-44
219,GEN 1:2,and,gottes,1.5437433503668534e-42
220,GEN 1:2,and,schwebte,1.5462532769673992e-41
221,GEN 1:2,and,auf,3.5240180370426096e-45
222,GEN 1:2,and,dem,1.54658685774318e-41
223,GEN 1:2,and,wasser,2.98561390540376e-44
224,GEN 1:2,void,und,0.03197201729291063
225,GEN 1:2,void,die,1.54658685774318e-41
226,GEN 1:2,void,erde,1.54658685774318e-41
227,GEN 1:2,void,war,1.54658685774318e-41
228,GEN 1:2,void,wüst,1.54658685774318e-41
229,GEN 1:2,void,und,0.03197201729291063
230,GEN 1:2,void,leer,1.54658685774318e-41
231,GEN 1:2,void,und,0.03197201729291063
232,GEN 1:2,void,es,1.54658685774318e-41
233,GEN 1:2,void,war,1.54658685774318e-41
234,GEN 1:2,void,finster,1.54658685774318e-41
235,GEN 1:2,void,auf,1.54658685774318e-41
236,GEN 1:2,void,der,1.54658685774318e-41
237,GEN 1:2,void,tiefe,1.54658685774318e-41
238,GEN 1:2,void,und,0.03197201729291063
239,GEN 1:2,void,der,1.54658685774318e-41
240,GEN 1:2,void,geist,1.54658685774318e-41
241,GEN 1:2,void,gottes,1.54658685774318e-41
242,GEN 1:2,void,schwebte,1.54658685774318e-41
243,GEN 1:2,void,auf,1.54658685774318e-41
244,GEN 1:2,void,dem,1.54658685774318e-41
245,GEN 1:2,void,wasser,1.54658685774318e-41
246,GEN 1:2,and,und,0.46856703561196517
247,GEN 1:2,and,die,0.5938438995168998
248,GEN 1:2,and,erde,1.222359287002054e-44
249,GEN 1:2,and,war,0.007815642366957311
250,GEN 1:2,and,wüst,0.041087226241759145
251,GEN 1:2,and,und,0.46856703561196517
252,GEN 1:2,and,leer,0.041087226241759145
253,GEN 1:2,and,und,0.46856703561196517
254,GEN 1:2,and,es,0.0030129645659542933
255,GEN 1:2,and,war,0.007815642366957311
256,GEN 1:2,and,finster,1.54658685774318e-41
257,GEN 1:2,and,auf,3.5240180370426096e-45
258,GEN 1:2,and,der,3.281363220917859e-45
259,GEN 1:2,and,tiefe,1.5465797087194255e-41
260,GEN 1:2,and,und,0.46856703561196517
261,GEN 1:2,and,der,3.281363220917859e-45
262,GEN 1:2,and,geist,3.565920719878654e-44
263,GEN 1:2,and,gottes,1.5437433503668534e-42
264,GEN 1:2,and,schwebte,1.5462532769673992e-41
265,GEN 1:2,and,auf,3.5240180370426096e-45
266,GEN 1:2,and,dem,1.54658685774318e-41
267,GEN 1:2,and,wasser,2.98561390540376e-44
268,GEN 1:2,darkness,und,0.035054326826131216
269,GEN 1:2,darkness,die,1.5005573611877436e-44
270,GEN 1:2,darkness,erde,1.222359287002054e-44
271,GEN 1:2,darkness,war,1.140359289417608e-44
272,GEN 1:2,darkness,wüst,1.54658685774318e-41
273,GEN 1:2,darkness,und,0.035054326826131216
274,GEN 1:2,darkness,leer,1.54658685774318e-41
275,GEN 1:2,darkness,und,0.035054326826131216
276,GEN 1:2,darkness,es,1.140359289417608e-44
277,GEN 1:2,darkness,war,1.140359289417608e-44
278,GEN 1:2,darkness,finster,1.54658685774318e-41
279,GEN 1:2,darkness,auf,1.140359289417608e-44
280,GEN 1:2,darkness,der,1.140359289417608e-44
281,GEN 1:2,darkness,tiefe,1.5465797087194255e-41
282,GEN 1:2,darkness,und,0.035054326826131216
283,GEN 1:2,darkness,der,1.140359289417608e-44
284,GEN 1:2,darkness,geist,3.565920719878654e-44
285,GEN 1:2,darkness,gottes,1.5437433503668534e-42
286,GEN 1:2,darkness,schwebte,1.5462532769673992e-41
287,GEN 1:2,darkness,auf,1.140359289417608e-44
288,GEN 1:2,darkness,dem,1.54658685774318e-41
289,GEN 1:2,darkness,wasser,2.98561390540376e-44
290,GEN 1:2,was,und,3.9769558199855035e-06
291,GEN 1:2,was,die,1.5005573611877436e-44
292,GEN 1:2,was,erde,1.222359287002054e-44
293,GEN 1:2,was,war,0.7665888687361028
294,GEN 1:2,was,wüst,1.54658685774318e-41
295,GEN 1:2,was,und,3.9769558199855035e-06
296,GEN 1:2,was,leer,1.54658685774318e-41
297,GEN 1:2,was,und,3.9769558199855035e-06
298,GEN 1:2,was,es,0.11172998918241318
299,GEN 1:2,was,war,0.7665888687361028
300,GEN 1:2,was,finster,1.54658685774318e-41
301,GEN 1:2,was,auf,6.054029172683512e-45
302,GEN 1:2,was,der,6.054029172683512e-45
303,GEN 1:2,was,tiefe,1.5465797087194255e-41
304,GEN 1:2,was,und,3.9769558199855035e-06
305,GEN 1:2,was,der,6.054029172683512e-45
306,GEN 1:2,was,geist,3.565920719878654e-44
307,GEN 1:2,was,gottes,1.5437433503668534e-42
308,GEN 1:2,was,schwebte,1.5462532769673992e-41
309,GEN 1:2,was,auf,6.054029172683512e-45
310,GEN 1:2,was,dem,1.54658685774318e-41
311,GEN 1:2,was,wasser,2.98561390540376e-44
312,GEN 1:2,upon,und,0.007903019105154622
313,GEN 1:2,upon,die,1.54658685774318e-41
314,GEN 1:2,upon,erde,1.54658685774318e-41
315,GEN 1:2,upon,war,1.54658685774318e-41
316,GEN 1:2,upon,wüst,1.54658685774318e-41
317,GEN 1:2,upon,und,0.007903019105154622
318,GEN 1:2,upon,leer,1.54658685774318e-41
319,GEN 1:2,upon,und,0.007903019105154622
320,GEN 1:2,upon,es,1.54658685774318e-41
321,GEN 1:2,upon,war,1.54658685774318e-41
322,GEN 1:2,upon,finster,1.54658685774318e-41
323,GEN 1:2,upon,auf,0.17462546862067302
324,GEN 1:2,upon,der,1.3801748015471988e-33
325,GEN 1:2,upon,tiefe,1.54658685774318e-41
326,GEN 1:2,upon,und,0.007903019105154622
327,GEN 1:2,upon,der,1.3801748015471988e-33
328,GEN 1:2,upon,geist,1.54658685774318e-41
329,GEN 1:2,upon,gottes,1.54658685774318e-41
330,GEN 1:2,upon,schwebte,1.54658685774318e-41
331,GEN 1:2,upon,auf,0.17462546862067302
332,GEN 1:2,upon,dem,1.54658685774318e-41
333,GEN 1:2,upon,wasser,1.54658685774318e-41
334,GEN 1:2,the,und,0.14610905196998894
335,GEN 1:2,the,die,0.04000996343825453
336,GEN 1:2,the,erde,1.3883503167252055e-19
337,GEN 1:2,the,war,1.7214455063498668e-09
338,GEN 1:2,the,wüst,1.54658685774318e-41
339,GEN 1:2,the,und,0.14610905196998894
340,GEN 1:2,the,leer,1.54658685774318e-41
341,GEN 1:2,the,und,0.14610905196998894
342,GEN 1:2,the,es,8.281755466393365e-45
343,GEN 1:2,the,war,1.7214455063498668e-09
344,GEN 1:2,the,finster,0.04574622903481879
345,GEN 1:2,the,auf,0.0012653378537037046
346,GEN 1:2,the,der,0.5841401280850187
347,GEN 1:2,the,tiefe,0.04574622903481879
348,GEN 1:2,the,und,0.14610905196998894
349,GEN 1:2,the,der,0.5841401280850187
350,GEN 1:2,the,geist,1.6349241765840914e-07
351,GEN 1:2,the,gottes,0.022880468413021406
352,GEN 1:2,the,schwebte,0.04484934957762565
353,GEN 1:2,the,auf,0.0012653378537037046
354,GEN 1:2,the,dem,0.0004592514261061671
355,GEN 1:2,the,wasser,2.98561390540376e-44
356,GEN 1:2,face,und,1.7752540795769687e-43
357,GEN 1:2,face,die,1.7752540795769687e-43
358,GEN 1:2,face,erde,1.7752540795769687e-43
359,GEN 1:2,face,war,1.7752540795769687e-43
360,GEN 1:2,face,wüst,1.54658685774318e-41
361,GEN 1:2,face,und,1.7752540795769687e-43
362,GEN 1:2,face,leer,1.54658685774318e-41
363,GEN 1:2,face,und,1.7752540795769687e-43
364,GEN 1:2,face,es,1.7752540795769687e-43
365,GEN 1:2,face,war,1.7752540795769687e-43
366,GEN 1:2,face,finster,1.54658685774318e-41
367,GEN 1:2,face,auf,0.31469046950234386
368,GEN 1:2,face,der,1.7752540795769687e-43
369,GEN 1:2,face,tiefe,1.5465797087194255e-41
370,GEN 1:2,face,und,1.7752540795769687e-43
371,GEN 1:2,face,der,1.7752540795769687e-43
372,GEN 1:2,face,geist,1.7752540795769687e-43
373,GEN 1:2,face,gottes,1.5437433503668534e-42
374,GEN 1:2,face,schwebte,1.5462532769673992e-41
375,GEN 1:2,face,auf,0.31469046950234386
376,GEN 1:2,face,dem,1.54658685774318e-41
377,GEN 1:2,face,wasser,1.7752540795769687e-43
378,GEN 1:2,of,und,6.219005250822331e-45
379,GEN 1:2,of,die,1.5005573611877436e-44
380,GEN 1:2,of,erde,1.222359287002054e-44
381,GEN 1:2,of,war,6.976019984172574e-45
382,GEN 1:2,of,wüst,1.54658685774318e-41
383,GEN 1:2,of,und,6.219005250822331e-45
384,GEN 1:2,of,leer,1.54658685774318e-41
385,GEN 1:2,of,und,6.219005250822331e-45
386,GEN 1:2,of,es,8.281755466393365e-45
387,GEN 1:2,of,war,6.976019984172574e-45
388,GEN 1:2,of,finster,1.54658685774318e-41
389,GEN 1:2,of,auf,0.36086954359706425
390,GEN 1:2,of,der,0.009027938736151061
391,GEN 1:2,of,tiefe,1.5465797087194255e-41
392,GEN 1:2,of,und,6.219005250822331e-45
393,GEN 1:2,of,der,0.009027938736151061
394,GEN 1:2,of,geist,0.14858132718276218
395,GEN 1:2,of,gottes,0.012573818583170474
396,GEN 1:2,of,schwebte,3.853816468253741e-21
397,GEN 1:2,of,auf,0.36086954359706425
398,GEN 1:2,of,dem,0.11547393156580406
399,GEN 1:2,of,wasser,2.98561390540376e-44
400,GEN 1:2,the,und,0.14610905196998894
401,GEN 1:2,the,die,0.04000996343825453
402,GEN 1:2,the,erde,1.3883503167252055e-19
403,GEN 1:2,the,war,1.7214455063498668e-09
404,GEN 1:2,the,wüst,1.54658685774318e-41
405,GEN 1:2,the,und,0.14610905196998894
406,GEN 1:2,the,leer,1.54658685774318e-41
407,GEN 1:2,the,und,0.14610905196998894
408,GEN 1:2,the,es,8.281755466393365e-45
409,GEN 1:2,the,war,1.7214455063498668e-09
410,GEN 1:2,the,finster,0.04574622903481879
411,GEN 1:2,the,auf,0.0012653378537037046
412,GEN 1:2,the,der,0.5841401280850187
413,GEN 1:2,the,tiefe,0.04574622903481879
414,GEN 1:2,the,und,0.14610905196998894
415,GEN 1:2,the,der,0.5841401280850187
416,GEN 1:2,the,geist,1.6349241765840914e-07
417,GEN 1:2,the,gottes,0.022880468413021406
418,GEN 1:2,the,schwebte,0.04484934957762565
419,GEN 1:2,the,auf,0.0012653378537037046
420,GEN 1:2,the,dem,0.0004592514261061671
421,GEN 1:2,the,wasser,2.98561390540376e-44
422,GEN 1:2,deep,und,1.54658685774318e-41
423,GEN 1:2,deep,die,1.54658685774318e-41
424,GEN 1:2,deep,erde,1.54658685774318e-41
425,GEN 1:2,deep,war,1.54658685774318e-41
426,GEN 1:2,deep,wüst,1.54658685774318e-41
427,GEN 1:2,deep,und,1.54658685774318e-41
428,GEN 1:2,deep,leer,1.54658685774318e-41
429,GEN 1:2,deep,und,1.54658685774318e-41
430,GEN 1:2,deep,es,1.54658685774318e-41
431,GEN 1:2,deep,war,1.54658685774318e-41
432,GEN 1:2,deep,finster,1.54658685774318e-41
433,GEN 1:2,deep,auf,1.54658685774318e-41
434,GEN 1:2,deep,der,0.08820745135700192
435,GEN 1:2,deep,tiefe,1.54658685774318e-41
436,GEN 1:2,deep,und,1.54658685774318e-41
437,GEN 1:2,deep,der,0.08820745135700192
438,GEN 1:2,deep,geist,1.54658685774318e-41
439,GEN 1:2,deep,gottes,1.54658685774318e-41
440,GEN 1:2,deep,schwebte,1.54658685774318e-41
441,GEN 1:2,deep,auf,1.54658685774318e-41
442,GEN 1:2,deep,dem,1.54658685774318e-41
443,GEN 1:2,deep,wasser,1.54658685774318e-41
444,GEN 1:2,and,und,0.46856703561196517
445,GEN 1:2,and,die,0.5938438995168998
446,GEN 1:2,and,erde,1.222359287002054e-44
447,GEN 1:2,and,war,0.007815642366957311
448,GEN 1:2,and,wüst,0.041087226241759145
449,GEN 1:2,and,und,0.46856703561196517
450,GEN 1:2,and,leer,0.041087226241759145
451,GEN 1:2,and,und,0.46856703561196517
452,GEN 1:2,and,es,0.0030129645659542933
453,GEN 1:2,and,war,0.007815642366957311
454,GEN 1:2,and,finster,1.54658685774318e-41
455,GEN 1:2,and,auf,3.5240180370426096e-45
456,GEN 1:2,and,der,3.281363220917859e-45
457,GEN 1:2,and,tiefe,1.5465797087194255e-41
458,GEN 1:2,and,und,0.46856703561196517
459,GEN 1:2,and,der,3.281363220917859e-45
460,GEN 1:2,and,geist,3.565920719878654e-44
461,GEN 1:2,and,gottes,1.5437433503668534e-42
462,GEN 1:2,and,schwebte,1.5462532769673992e-41
463,GEN 1:2,and,auf,3.5240180370426096e-45
464,GEN 1:2,and,dem,1.54658685774318e-41
465,GEN 1:2,and,wasser,2.98561390540376e-44
466,GEN 1:2,the,und,0.14610905196998894
467,GEN 1:2,the,die,0.04000996343825453
468,GEN 1:2,the,erde,1.3883503167252055e-19
469,GEN 1:2,the,war,1.7214455063498668e-09
470,GEN 1:2,the,wüst,1.54658685774318e-41
471,GEN 1:2,the,und,0.14610905196998894
472,GEN 1:2,the,leer,1.54658685774318e-41
473,GEN 1:2,the,und,0.14610905196998894
474,GEN 1:2,the,es,8.281755466393365e-45
475,GEN 1:2,the,war,1.7214455063498668e-09
476,GEN 1:2,the,finster,0.04574622903481879
477,GEN 1:2,the,auf,0.0012653378537037046
478,GEN 1:2,the,der,0.5841401280850187
479,GEN 1:2,the,tiefe,0.04574622903481879
480,GEN 1:2,the,und,0.14610905196998894
481,GEN 1:2,the,der,0.5841401280850187
482,GEN 1:2,the,geist,1.6349241765840914e-07
483,GEN 1:2,the,gottes,0.022880468413021406
484,GEN 1:2,the,schwebte,0.04484934957762565
485,GEN 1:2,the,auf,0.0012653378537037046
486,GEN 1:2,the,dem,0.0004592514261061671
487,GEN 1:2,the,wasser,2.98561390540376e-44
488,GEN 1:2,spirit,und,1.54658685774318e-41
489,GEN 1:2,spirit,die,1.54658685774318e-41
490,GEN 1:2,spirit,erde,1.54658685774318e-41
491,GEN 1:2,spirit,war,1.54658685774318e-41
492,GEN 1:2,spirit,wüst,1.54658685774318e-41
493,GEN 1:2,spirit,und,1.54658685774318e-41
494,GEN 1:2,spirit,leer,1.54658685774318e-41
495,GEN 1:2,spirit,und,1.54658685774318e-41
496,GEN 1:2,spirit,es,1.54658685774318e-41
497,GEN 1:2,spirit,war,1.54658685774318e-41
498,GEN 1:2,spirit,finster,1.54658685774318e-41
499,GEN 1:2,spirit,auf,1.54658685774318e-41
500,GEN 1:2,spirit,der,0.08820745135700192
501,GEN 1:2,spirit,tiefe,1.54658685774318e-41
502,GEN 1:2,spirit,und,1.54658685774318e-41
503,GEN 1:2,spirit,der,0.08820745135700192
504,GEN 1:2,spirit,geist,1.54658685774318e-41
505,GEN 1:2,spirit,gottes,1.54658685774318e-41
506,GEN 1:2,spirit,schwebte,1.54658685774318e-41
507,GEN 1:2,spirit,auf,1.54658685774318e-41
508,GEN 1:2,spirit,dem,1.54658685774318e-41
509,GEN 1:2,spirit,wasser,1.54658685774318e-41
510,GEN 1:2,of,und,6.219005250822331e-45
511,GEN 1:2,of,die,1.5005573611877436e-44
512,GEN 1:2,of,erde,1.222359287002054e-44
513,GEN 1:2,of,war,6.976019984172574e-45
514,GEN 1:2,of,wüst,1.54658685774318e-41
515,GEN 1:2,of,und,6.219005250822331e-45
516,GEN 1:2,of,leer,1.54658685774318e-41
517,GEN 1:2,of,und,6.219005250822331e-45
518,GEN 1:2,of,es,8.281755466393365e-45
519,GEN 1:2,of,war,6.976019984172574e-45
520,GEN 1:2,of,finster,1.54658685774318e-41
521,GEN 1:2,of,auf,0.36086954359706425
522,GEN 1:2,of,der,0.009027938736151061
523,GEN 1:2,of,tiefe,1.5465797087194255e-41
524,GEN 1:2,of,und,6.219005250822331e-45
525,GEN 1:2,of,der,0.009027938736151061
526,GEN 1:2,of,geist,0.14858132718276218
527,GEN 1:2,of,gottes,0.012573818583170474
528,GEN 1:2,of,schwebte,3.853816468253741e-21
529,GEN 1:2,of,auf,0.36086954359706425
530,GEN 1:2,of,dem,0.11547393156580406
531,GEN 1:2,of,wasser,2.98561390540376e-44
532,GEN 1:2,god,und,0.06149595236501601
533,GEN 1:2,god,die,1.5005573611877436e-44
534,GEN 1:2,god,erde,1.222359287002054e-44
535,GEN 1:2,god,war,6.976019984172574e-45
536,GEN 1:2,god,wüst,1.54658685774318e-41
537,GEN 1:2,god,und,0.06149595236501601
538,GEN 1:2,god,leer,1.54658685774318e-41
