,vref,source,target,translation_score
33,GEN 1:1,beginning,בְּ,1.2386149851312662e-44
34,GEN 1:1,beginning,רֵאשִׁ֖ית,1.8306560893892225e-05
35,GEN 1:1,beginning,בָּרָ֣א,0.8975435233431968
36,GEN 1:1,beginning,אֱלֹהִ֑ים,0.33295634678461594
37,GEN 1:1,beginning,אֵ֥ת,2.289531264794399e-44
38,GEN 1:1,beginning,הַ,1.2386149851312662e-44
39,GEN 1:1,beginning,שָּׁמַ֖יִם,3.651292540519978e-44
40,GEN 1:1,beginning,וְ,1.2386149851312662e-44
41,GEN 1:1,beginning,אֵ֥ת,2.289531264794399e-44
42,GEN 1:1,beginning,הָ,1.2386149851312662e-44
43,GEN 1:1,beginning,אָֽרֶץ,3.5267629867631075e-44
44,GEN 1:1,earth,בְּ,1.2318713270959249e-44
45,GEN 1:1,earth,רֵאשִׁ֖ית,1.8825533244722236e-43
46,GEN 1:1,earth,בָּרָ֣א,3.3391815131329693e-44
47,GEN 1:1,earth,אֱלֹהִ֑ים,3.393792938846779e-44
48,GEN 1:1,earth,אֵ֥ת,2.289531264794399e-44
49,GEN 1:1,earth,הַ,9.976377163399024e-45
50,GEN 1:1,earth,שָּׁמַ֖יִם,3.651292540519978e-44
51,GEN 1:1,earth,וְ,9.976377163399024e-45
52,GEN 1:1,earth,אֵ֥ת,2.289531264794399e-44
53,GEN 1:1,earth,הָ,0.43239037579101086
54,GEN 1:1,earth,אָֽרֶץ,0.8924481870219796
55,GEN 1:1,created,בְּ,2.0824631042636005e-44
56,GEN 1:1,created,רֵאשִׁ֖ית,1.8825533244722236e-43
57,GEN 1:1,created,בָּרָ֣א,3.3391815131329693e-44
58,GEN 1:1,created,אֱלֹהִ֑ים,3.393792938846779e-44
59,GEN 1:1,created,אֵ֥ת,0.914692807033426
60,GEN 1:1,created,הַ,2.0824631042636005e-44
61,GEN 1:1,created,שָּׁמַ֖יִם,3.651292540519978e-44
62,GEN 1:1,created,וְ,2.0824631042636005e-44
63,GEN 1:1,created,אֵ֥ת,0.914692807033426
64,GEN 1:1,created,הָ,2.0824631042636005e-44
65,GEN 1:1,created,אָֽרֶץ,3.5267629867631075e-44
66,GEN 1:1,heaven,בְּ,1.698823994174094e-44
67,GEN 1:1,heaven,רֵאשִׁ֖ית,1.8825533244722236e-43
68,GEN 1:1,heaven,בָּרָ֣א,3.3391815131329693e-44
69,GEN 1:1,heaven,אֱלֹהִ֑ים,3.393792938846779e-44
70,GEN 1:1,heaven,אֵ֥ת,0.18925598055344098
71,GEN 1:1,heaven,הַ,1.698823994174094e-44
72,GEN 1:1,heaven,שָּׁמַ֖יִם,0.8891057140707346
73,GEN 1:1,heaven,וְ,1.698823994174094e-44
74,GEN 1:1,heaven,אֵ֥ת,0.18925598055344098
75,GEN 1:1,heaven,הָ,1.698823994174094e-44
76,GEN 1:1,heaven,אָֽרֶץ,3.5267629867631075e-44
77,GEN 1:1,the,בְּ,1.882073617779845e-44
78,GEN 1:1,the,רֵאשִׁ֖ית,0.6296376095708571
79,GEN 1:1,the,בָּרָ֣א,3.3391815131329693e-44
80,GEN 1:1,the,אֱלֹהִ֑ים,3.393792938846779e-44
81,GEN 1:1,the,אֵ֥ת,0.017962477795095067
82,GEN 1:1,the,הַ,0.3845855918695002
83,GEN 1:1,the,שָּׁמַ֖יִם,3.651466680064395e-44
84,GEN 1:1,the,וְ,0.2028460374750347
85,GEN 1:1,the,אֵ֥ת,0.017962477795095067
86,GEN 1:1,the,הָ,0.25805519563198775
87,GEN 1:1,the,אָֽרֶץ,3.5267629867631075e-44
88,GEN 1:2,god,וְ,2.4274206584404642e-45
89,GEN 1:2,god,הָ,2.737227999374284e-45
90,GEN 1:2,god,אָ֗רֶץ,3.043870885438827e-44
91,GEN 1:2,god,הָיְתָ֥ה,2.9252630004086394e-44
92,GEN 1:2,god,תֹ֨הוּ֙,1.9112562882140816e-43
93,GEN 1:2,god,וָ,4.2218047679416803e-44
94,GEN 1:2,god,בֹ֔הוּ,1.54658685774318e-41
95,GEN 1:2,god,וְ,2.4274206584404642e-45
96,GEN 1:2,god,חֹ֖שֶׁךְ,1.3613895764877286e-44
97,GEN 1:2,god,עַל,3.330385480713193e-45
98,GEN 1:2,god,פְּנֵ֣י,2.6585402373086186e-42
99,GEN 1:2,god,תְה֑וֹם,5.234868400458891e-44
100,GEN 1:2,god,וְ,2.4274206584404642e-45
101,GEN 1:2,god,ר֣וּחַ,2.9519073578363925e-44
102,GEN 1:2,god,אֱלֹהִ֔ים,0.8285411507311045
103,GEN 1:2,god,מְרַחֶ֖פֶת,2.9861068259482045e-44
104,GEN 1:2,god,עַל,3.330385480713193e-45
105,GEN 1:2,god,פְּנֵ֥י,6.2784778681740855e-43
106,GEN 1:2,god,הַ,2.4274206584404642e-45
107,GEN 1:2,god,מָּֽיִם,1.4319393033668845e-41
108,GEN 1:2,and,וְ,0.3524808829895629
109,GEN 1:2,and,הָ,0.06220751003664019
110,GEN 1:2,and,אָ֗רֶץ,0.026869074819439943
111,GEN 1:2,and,הָיְתָ֥ה,0.02686965392106537
112,GEN 1:2,and,תֹ֨הוּ֙,0.02686965392106537
113,GEN 1:2,and,וָ,0.02686965392106537
114,GEN 1:2,and,בֹ֔הוּ,0.02686965392106537
115,GEN 1:2,and,וְ,0.3524808829895629
116,GEN 1:2,and,חֹ֖שֶׁךְ,0.010420677564973143
117,GEN 1:2,and,עַל,3.330385480713193e-45
118,GEN 1:2,and,פְּנֵ֣י,2.6585402373086186e-42
119,GEN 1:2,and,תְה֑וֹם,5.234868400458891e-44
120,GEN 1:2,and,וְ,0.3524808829895629
121,GEN 1:2,and,ר֣וּחַ,2.9519073578363925e-44
122,GEN 1:2,and,אֱלֹהִ֔ים,2.1879247662446834e-44
123,GEN 1:2,and,מְרַחֶ֖פֶת,2.9861068259482045e-44
124,GEN 1:2,and,עַל,3.330385480713193e-45
125,GEN 1:2,and,פְּנֵ֥י,6.2784778681740855e-43
126,GEN 1:2,and,הַ,1.6235816282880867e-45
127,GEN 1:2,and,מָּֽיִם,1.4319393033668845e-41
128,GEN 1:2,of,וְ,5.029307559270685e-45
129,GEN 1:2,of,הָ,5.029307559270685e-45
130,GEN 1:2,of,אָ֗רֶץ,3.043870885438827e-44
131,GEN 1:2,of,הָיְתָ֥ה,2.9252630004086394e-44
132,GEN 1:2,of,תֹ֨הוּ֙,1.9112562882140816e-43
133,GEN 1:2,of,וָ,4.2218047679416803e-44
134,GEN 1:2,of,בֹ֔הוּ,1.54658685774318e-41
135,GEN 1:2,of,וְ,5.029307559270685e-45
136,GEN 1:2,of,חֹ֖שֶׁךְ,1.3613895764877286e-44
137,GEN 1:2,of,עַל,0.3268841407317399
138,GEN 1:2,of,פְּנֵ֣י,2.6585402373086186e-42
139,GEN 1:2,of,תְה֑וֹם,5.234868400458891e-44
140,GEN 1:2,of,וְ,5.029307559270685e-45
141,GEN 1:2,of,ר֣וּחַ,0.1347627501488961
142,GEN 1:2,of,אֱלֹהִ֔ים,1.135708489771922e-40
143,GEN 1:2,of,מְרַחֶ֖פֶת,0.13385836124220635
144,GEN 1:2,of,עַל,0.3268841407317399
145,GEN 1:2,of,פְּנֵ֥י,0.13478154653209448
146,GEN 1:2,of,הַ,0.06429352399916209
147,GEN 1:2,of,מָּֽיִם,0.12699213879497448
148,GEN 1:2,void,וְ,2.1475873613638405e-41
149,GEN 1:2,void,הָ,1.0567423669414827e-41
150,GEN 1:2,void,אָ֗רֶץ,1.0567423669414827e-41
151,GEN 1:2,void,הָיְתָ֥ה,1.0567423669414827e-41
152,GEN 1:2,void,תֹ֨הוּ֙,0.1067207740457374
153,GEN 1:2,void,וָ,0.7238237813428167
154,GEN 1:2,void,בֹ֔הוּ,1.54658685774318e-41
155,GEN 1:2,void,וְ,2.1475873613638405e-41
156,GEN 1:2,void,חֹ֖שֶׁךְ,1.0567423669414827e-41
157,GEN 1:2,void,עַל,1.0567423669414827e-41
158,GEN 1:2,void,פְּנֵ֣י,1.0567423669414827e-41
159,GEN 1:2,void,תְה֑וֹם,1.0567423669414827e-41
160,GEN 1:2,void,וְ,2.1475873613638405e-41
161,GEN 1:2,void,ר֣וּחַ,1.0567423669414827e-41
162,GEN 1:2,void,אֱלֹהִ֔ים,1.0567423669414827e-41
163,GEN 1:2,void,מְרַחֶ֖פֶת,1.0567423669414827e-41
164,GEN 1:2,void,עַל,1.0567423669414827e-41
165,GEN 1:2,void,פְּנֵ֥י,1.0567423669414827e-41
166,GEN 1:2,void,הַ,1.0567423669414827e-41
167,GEN 1:2,void,מָּֽיִם,1.4319393033668845e-41
168,GEN 1:2,earth,וְ,9.976377163399024e-45
169,GEN 1:2,earth,הָ,0.43239037579101086
170,GEN 1:2,earth,אָ֗רֶץ,3.043870885438827e-44
171,GEN 1:2,earth,הָיְתָ֥ה,2.9252630004086394e-44
172,GEN 1:2,earth,תֹ֨הוּ֙,1.9112562882140816e-43
173,GEN 1:2,earth,וָ,4.2218047679416803e-44
174,GEN 1:2,earth,בֹ֔הוּ,1.54658685774318e-41
175,GEN 1:2,earth,וְ,9.976377163399024e-45
176,GEN 1:2,earth,חֹ֖שֶׁךְ,1.3613895764877286e-44
177,GEN 1:2,earth,עַל,9.976377163399024e-45
178,GEN 1:2,earth,פְּנֵ֣י,2.6585402373086186e-42
179,GEN 1:2,earth,תְה֑וֹם,5.234868400458891e-44
180,GEN 1:2,earth,וְ,9.976377163399024e-45
181,GEN 1:2,earth,ר֣וּחַ,2.9519073578363925e-44
182,GEN 1:2,earth,אֱלֹהִ֔ים,9.976377163399024e-45
183,GEN 1:2,earth,מְרַחֶ֖פֶת,2.9861068259482045e-44
184,GEN 1:2,earth,עַל,9.976377163399024e-45
185,GEN 1:2,earth,פְּנֵ֥י,6.2784778681740855e-43
186,GEN 1:2,earth,הַ,9.976377163399024e-45
187,GEN 1:2,earth,מָּֽיִם,1.4319393033668845e-41
188,GEN 1:2,was,וְ,0.06241110873547692
189,GEN 1:2,was,הָ,0.13514120673465027
190,GEN 1:2,was,אָ֗רֶץ,5.9914859617031905e-40
191,GEN 1:2,was,הָיְתָ֥ה,2.9252630004086394e-44
192,GEN 1:2,was,תֹ֨הוּ֙,1.9112562882140816e-43
193,GEN 1:2,was,וָ,4.2218047679416803e-44
194,GEN 1:2,was,בֹ֔הוּ,1.54658685774318e-41
195,GEN 1:2,was,וְ,0.06241110873547692
196,GEN 1:2,was,חֹ֖שֶׁךְ,1.3613895764877286e-44
197,GEN 1:2,was,עַל,1.0498109229378909e-44
198,GEN 1:2,was,פְּנֵ֣י,2.6585402373086186e-42
199,GEN 1:2,was,תְה֑וֹם,5.234868400458891e-44
200,GEN 1:2,was,וְ,0.06241110873547692
201,GEN 1:2,was,ר֣וּחַ,2.9519073578363925e-44
202,GEN 1:2,was,אֱלֹהִ֔ים,1.0498109229378909e-44
203,GEN 1:2,was,מְרַחֶ֖פֶת,2.9861068259482045e-44
204,GEN 1:2,was,עַל,1.0498109229378909e-44
205,GEN 1:2,was,פְּנֵ֥י,6.2784778681740855e-43
206,GEN 1:2,was,הַ,1.0498109229378909e-44
207,GEN 1:2,was,מָּֽיִם,1.4319393033668845e-41
208,GEN 1:2,upon,וְ,2.1256355255701182e-07
209,GEN 1:2,upon,הָ,1.0687291469528888e-42
210,GEN 1:2,upon,אָ֗רֶץ,1.0687291469528888e-42
211,GEN 1:2,upon,הָיְתָ֥ה,1.0687291469528888e-42
212,GEN 1:2,upon,תֹ֨הוּ֙,1.0687291469528888e-42
213,GEN 1:2,upon,וָ,1.0687291469528888e-42
214,GEN 1:2,upon,בֹ֔הוּ,1.54658685774318e-41
215,GEN 1:2,upon,וְ,2.1256355255701182e-07
216,GEN 1:2,upon,חֹ֖שֶׁךְ,1.0687291469528888e-42
217,GEN 1:2,upon,עַל,0.23033104187296952
218,GEN 1:2,upon,פְּנֵ֣י,2.6585402373086186e-42
219,GEN 1:2,upon,תְה֑וֹם,1.0687291469528888e-42
220,GEN 1:2,upon,וְ,2.1256355255701182e-07
221,GEN 1:2,upon,ר֣וּחַ,1.0687291469528888e-42
222,GEN 1:2,upon,אֱלֹהִ֔ים,1.0687291469528888e-42
223,GEN 1:2,upon,מְרַחֶ֖פֶת,1.0687291469528888e-42
224,GEN 1:2,upon,עַל,0.23033104187296952
225,GEN 1:2,upon,פְּנֵ֥י,1.0687291469528888e-42
226,GEN 1:2,upon,הַ,1.0687291469528888e-42
227,GEN 1:2,upon,מָּֽיִם,1.4319393033668845e-41
228,GEN 1:2,deep,וְ,0.005128545911320271
229,GEN 1:2,deep,הָ,1.0567423669414827e-41
230,GEN 1:2,deep,אָ֗רֶץ,1.0567423669414827e-41
231,GEN 1:2,deep,הָיְתָ֥ה,1.0567423669414827e-41
232,GEN 1:2,deep,תֹ֨הוּ֙,1.0567423669414827e-41
233,GEN 1:2,deep,וָ,1.0567423669414827e-41
234,GEN 1:2,deep,בֹ֔הוּ,1.54658685774318e-41
235,GEN 1:2,deep,וְ,0.005128545911320271
236,GEN 1:2,deep,חֹ֖שֶׁךְ,1.0567423669414827e-41
237,GEN 1:2,deep,עַל,1.0567423669414827e-41
238,GEN 1:2,deep,פְּנֵ֣י,1.0567423669414827e-41
239,GEN 1:2,deep,תְה֑וֹם,0.682596186547069
240,GEN 1:2,deep,וְ,0.005128545911320271
241,GEN 1:2,deep,ר֣וּחַ,1.0567423669414827e-41
242,GEN 1:2,deep,אֱלֹהִ֔ים,1.0567423669414827e-41
243,GEN 1:2,deep,מְרַחֶ֖פֶת,1.0567423669414827e-41
244,GEN 1:2,deep,עַל,1.0567423669414827e-41
245,GEN 1:2,deep,פְּנֵ֥י,1.0567423669414827e-41
246,GEN 1:2,deep,הַ,1.0567423669414827e-41
247,GEN 1:2,deep,מָּֽיִם,1.4319393033668845e-41
248,GEN 1:2,face,וְ,1.837393050883482e-44
249,GEN 1:2,face,הָ,1.837393050883482e-44
250,GEN 1:2,face,אָ֗רֶץ,3.043870885438827e-44
251,GEN 1:2,face,הָיְתָ֥ה,2.9252630004086394e-44
252,GEN 1:2,face,תֹ֨הוּ֙,1.9112562882140816e-43
253,GEN 1:2,face,וָ,4.2218047679416803e-44
254,GEN 1:2,face,בֹ֔הוּ,1.54658685774318e-41
255,GEN 1:2,face,וְ,1.837393050883482e-44
256,GEN 1:2,face,חֹ֖שֶׁךְ,1.837393050883482e-44
257,GEN 1:2,face,עַל,0.8655007331484212
258,GEN 1:2,face,פְּנֵ֣י,2.6585402373086186e-42
259,GEN 1:2,face,תְה֑וֹם,5.234868400458891e-44
260,GEN 1:2,face,וְ,1.837393050883482e-44
261,GEN 1:2,face,ר֣וּחַ,2.9519073578363925e-44
262,GEN 1:2,face,אֱלֹהִ֔ים,1.837393050883482e-44
263,GEN 1:2,face,מְרַחֶ֖פֶת,2.9861068259482045e-44
264,GEN 1:2,face,עַל,0.8655007331484212
265,GEN 1:2,face,פְּנֵ֥י,6.2784778681740855e-43
266,GEN 1:2,face,הַ,1.837393050883482e-44
267,GEN 1:2,face,מָּֽיִם,1.4319393033668845e-41
268,GEN 1:2,waters,וְ,3.0358735002771285e-45
269,GEN 1:2,waters,הָ,3.0358735002771285e-45
270,GEN 1:2,waters,אָ֗רֶץ,3.043870885438827e-44
271,GEN 1:2,waters,הָיְתָ֥ה,2.9252630004086394e-44
272,GEN 1:2,waters,תֹ֨הוּ֙,1.9112562882140816e-43
273,GEN 1:2,waters,וָ,4.2218047679416803e-44
274,GEN 1:2,waters,בֹ֔הוּ,1.54658685774318e-41
275,GEN 1:2,waters,וְ,3.0358735002771285e-45
276,GEN 1:2,waters,חֹ֖שֶׁךְ,1.3613895764877286e-44
277,GEN 1:2,waters,עַל,3.330385480713193e-45
278,GEN 1:2,waters,פְּנֵ֣י,2.6585402373086186e-42
279,GEN 1:2,waters,תְה֑וֹם,5.234868400458891e-44
280,GEN 1:2,waters,וְ,3.0358735002771285e-45
281,GEN 1:2,waters,ר֣וּחַ,2.9519073578363925e-44
282,GEN 1:2,waters,אֱלֹהִ֔ים,9.934849821556674e-45
283,GEN 1:2,waters,מְרַחֶ֖פֶת,2.9861068259482045e-44
284,GEN 1:2,waters,עַל,3.330385480713193e-45
285,GEN 1:2,waters,פְּנֵ֥י,6.2784778681740855e-43
286,GEN 1:2,waters,הַ,0.19674111259270372
287,GEN 1:2,waters,מָּֽיִם,1.5153607284231987e-34
288,GEN 1:2,moved,וְ,1.0567423669414827e-41
289,GEN 1:2,moved,הָ,1.0567423669414827e-41
290,GEN 1:2,moved,אָ֗רֶץ,1.0567423669414827e-41
291,GEN 1:2,moved,הָיְתָ֥ה,1.0567423669414827e-41
292,GEN 1:2,moved,תֹ֨הוּ֙,1.0567423669414827e-41
293,GEN 1:2,moved,וָ,1.0567423669414827e-41
294,GEN 1:2,moved,בֹ֔הוּ,1.54658685774318e-41
295,GEN 1:2,moved,וְ,1.0567423669414827e-41
296,GEN 1:2,moved,חֹ֖שֶׁךְ,1.0567423669414827e-41
297,GEN 1:2,moved,עַל,1.0567423669414827e-41
298,GEN 1:2,moved,פְּנֵ֣י,1.0567423669414827e-41
299,GEN 1:2,moved,תְה֑וֹם,1.0567423669414827e-41
300,GEN 1:2,moved,וְ,1.0567423669414827e-41
301,GEN 1:2,moved,ר֣וּחַ,1.0567423669414827e-41
302,GEN 1:2,moved,אֱלֹהִ֔ים,1.0567423669414827e-41
303,GEN 1:2,moved,מְרַחֶ֖פֶת,0.8025440216856801
304,GEN 1:2,moved,עַל,1.0567423669414827e-41
305,GEN 1:2,moved,פְּנֵ֥י,1.0567423669414827e-41
306,GEN 1:2,moved,הַ,1.0567423669414827e-41
307,GEN 1:2,moved,מָּֽיִם,1.4319393033668845e-41
308,GEN 1:2,without,וְ,1.0567423669414827e-41
309,GEN 1:2,without,הָ,1.0567423669414827e-41
310,GEN 1:2,without,אָ֗רֶץ,0.7976905780193682
311,GEN 1:2,without,הָיְתָ֥ה,7.593978023660231e-18
312,GEN 1:2,without,תֹ֨הוּ֙,1.0567423669414827e-41
313,GEN 1:2,without,וָ,1.0567423669414827e-41
314,GEN 1:2,without,בֹ֔הוּ,1.54658685774318e-41
315,GEN 1:2,without,וְ,1.0567423669414827e-41
316,GEN 1:2,without,חֹ֖שֶׁךְ,1.0567423669414827e-41
317,GEN 1:2,without,עַל,1.0567423669414827e-41
318,GEN 1:2,without,פְּנֵ֣י,1.0567423669414827e-41
319,GEN 1:2,without,תְה֑וֹם,1.0567423669414827e-41
320,GEN 1:2,without,וְ,1.0567423669414827e-41
321,GEN 1:2,without,ר֣וּחַ,1.0567423669414827e-41
322,GEN 1:2,without,אֱלֹהִ֔ים,1.0567423669414827e-41
323,GEN 1:2,without,מְרַחֶ֖פֶת,1.0567423669414827e-41
324,GEN 1:2,without,עַל,1.0567423669414827e-41
325,GEN 1:2,without,פְּנֵ֥י,1.0567423669414827e-41
326,GEN 1:2,without,הַ,1.0567423669414827e-41
327,GEN 1:2,without,מָּֽיִם,1.4319393033668845e-41
328,GEN 1:2,the,וְ,0.2028460374750347
329,GEN 1:2,the,הָ,0.25805519563198775
330,GEN 1:2,the,אָ֗רֶץ,3.043870885438827e-44
331,GEN 1:2,the,הָיְתָ֥ה,2.9252630004086394e-44
332,GEN 1:2,the,תֹ֨הוּ֙,1.9112562882140816e-43
333,GEN 1:2,the,וָ,4.2218047679416803e-44
334,GEN 1:2,the,בֹ֔הוּ,1.54658685774318e-41
335,GEN 1:2,the,וְ,0.2028460374750347
336,GEN 1:2,the,חֹ֖שֶׁךְ,0.7743061025755138
337,GEN 1:2,the,עַל,0.001664873519982443
338,GEN 1:2,the,פְּנֵ֣י,0.016521283101579968
339,GEN 1:2,the,תְה֑וֹם,0.016521283101579968
340,GEN 1:2,the,וְ,0.2028460374750347
341,GEN 1:2,the,ר֣וּחַ,8.68358394433856e-39
342,GEN 1:2,the,אֱלֹהִ֔ים,1.5211088961024258e-07
343,GEN 1:2,the,מְרַחֶ֖פֶת,1.7655580900121205e-29
344,GEN 1:2,the,עַל,0.001664873519982443
345,GEN 1:2,the,פְּנֵ֥י,4.7507510734889536e-39
346,GEN 1:2,the,הַ,0.3845855918695002
347,GEN 1:2,the,מָּֽיִם,1.2912803270483034e-11
348,GEN 1:2,form,וְ,1.0567423669414827e-41
349,GEN 1:2,form,הָ,1.0567423669414827e-41
350,GEN 1:2,form,אָ֗רֶץ,1.0567423669414827e-41
351,GEN 1:2,form,הָיְתָ֥ה,0.7863499906688469
352,GEN 1:2,form,תֹ֨הוּ֙,1.0567423669414827e-41
353,GEN 1:2,form,וָ,1.0567423669414827e-41
354,GEN 1:2,form,בֹ֔הוּ,1.54658685774318e-41
355,GEN 1:2,form,וְ,1.0567423669414827e-41
356,GEN 1:2,form,חֹ֖שֶׁךְ,1.0567423669414827e-41
357,GEN 1:2,form,עַל,1.0567423669414827e-41
358,GEN 1:2,form,פְּנֵ֣י,1.0567423669414827e-41
359,GEN 1:2,form,תְה֑וֹם,1.0567423669414827e-41
360,GEN 1:2,form,וְ,1.0567423669414827e-41
361,GEN 1:2,form,ר֣וּחַ,1.0567423669414827e-41
362,GEN 1:2,form,אֱלֹהִ֔ים,1.0567423669414827e-41
363,GEN 1:2,form,מְרַחֶ֖פֶת,1.0567423669414827e-41
364,GEN 1:2,form,עַל,1.0567423669414827e-41
365,GEN 1:2,form,פְּנֵ֥י,1.0567423669414827e-41
366,GEN 1:2,form,הַ,1.0567423669414827e-41
367,GEN 1:2,form,מָּֽיִם,1.4319393033668845e-41
368,GEN 1:2,darkness,וְ,0.16279887276760674
369,GEN 1:2,darkness,הָ,2.190025425728735e-44
370,GEN 1:2,darkness,אָ֗רֶץ,3.043870885438827e-44
371,GEN 1:2,darkness,הָיְתָ֥ה,2.9252630004086394e-44
372,GEN 1:2,darkness,תֹ֨הוּ֙,1.9112562882140816e-43
373,GEN 1:2,darkness,וָ,4.2218047679416803e-44
374,GEN 1:2,darkness,בֹ֔הוּ,1.54658685774318e-41
375,GEN 1:2,darkness,וְ,0.16279887276760674
376,GEN 1:2,darkness,חֹ֖שֶׁךְ,3.7111474554393335e-13
377,GEN 1:2,darkness,עַל,2.190025425728735e-44
378,GEN 1:2,darkness,פְּנֵ֣י,2.6585402373086186e-42
379,GEN 1:2,darkness,תְה֑וֹם,5.234868400458891e-44
380,GEN 1:2,darkness,וְ,0.16279887276760674
381,GEN 1:2,darkness,ר֣וּחַ,2.9519073578363925e-44
382,GEN 1:2,darkness,אֱלֹהִ֔ים,2.190025425728735e-44
383,GEN 1:2,darkness,מְרַחֶ֖פֶת,2.9861068259482045e-44
384,GEN 1:2,darkness,עַל,2.190025425728735e-44
385,GEN 1:2,darkness,פְּנֵ֥י,6.2784778681740855e-43
386,GEN 1:2,darkness,הַ,2.190025425728735e-44
387,GEN 1:2,darkness,מָּֽיִם,1.4319393033668845e-41
388,GEN 1:2,spirit,וְ,1.0567423669414827e-41
389,GEN 1:2,spirit,הָ,1.0567423669414827e-41
390,GEN 1:2,spirit,אָ֗רֶץ,1.0567423669414827e-41
391,GEN 1:2,spirit,הָיְתָ֥ה,1.0567423669414827e-41
392,GEN 1:2,spirit,תֹ֨הוּ֙,1.0567423669414827e-41
393,GEN 1:2,spirit,וָ,1.0567423669414827e-41
394,GEN 1:2,spirit,בֹ֔הוּ,1.54658685774318e-41
395,GEN 1:2,spirit,וְ,1.0567423669414827e-41
396,GEN 1:2,spirit,חֹ֖שֶׁךְ,1.0567423669414827e-41
397,GEN 1:2,spirit,עַל,1.0567423669414827e-41
398,GEN 1:2,spirit,פְּנֵ֣י,1.0567423669414827e-41
399,GEN 1:2,spirit,תְה֑וֹם,1.0567423669414827e-41
400,GEN 1:2,spirit,וְ,1.0567423669414827e-41
401,GEN 1:2,spirit,ר֣וּחַ,0.7933121205748785
402,GEN 1:2,spirit,אֱלֹהִ֔ים,1.0567423669414827e-41
403,GEN 1:2,spirit,מְרַחֶ֖פֶת,1.0567423669414827e-41
404,GEN 1:2,spirit,עַל,1.0567423669414827e-41
405,GEN 1:2,spirit,פְּנֵ֥י,1.0567423669414827e-41
406,GEN 1:2,spirit,הַ,1.0567423669414827e-41
407,GEN 1:2,spirit,מָּֽיִם,1.4319393033668845e-41
408,GEN 1:3,god,וַ,0.5560436020393996
409,GEN 1:3,god,יֹּ֥אמֶר,3.338940859608818e-44
410,GEN 1:3,god,אֱלֹהִ֖ים,3.3389206183613003e-44
411,GEN 1:3,god,יְהִ֣י,1.1278349804165941e-44
412,GEN 1:3,god,א֑וֹר,1.787514977507149e-44
413,GEN 1:3,god,וַֽ,6.180664169388139e-45
414,GEN 1:3,god,יְהִי,4.129324832687586e-45
415,GEN 1:3,god,אֽוֹר,2.8004451413449575e-44
416,GEN 1:3,and,וַ,0.5276854587506671
417,GEN 1:3,and,יֹּ֥אמֶר,3.338940859608818e-44
418,GEN 1:3,and,אֱלֹהִ֖ים,3.3389206183613003e-44
419,GEN 1:3,and,יְהִ֣י,1.1278349804165941e-44
420,GEN 1:3,and,א֑וֹר,1.787514977507149e-44
421,GEN 1:3,and,וַֽ,0.5439408671327813
422,GEN 1:3,and,יְהִי,0.05398760853789479
423,GEN 1:3,and,אֽוֹר,2.8004451413449575e-44
424,GEN 1:3,be,וַ,2.7305988508387843e-44
425,GEN 1:3,be,יֹּ֥אמֶר,3.338940859608818e-44
426,GEN 1:3,be,אֱלֹהִ֖ים,3.3389206183613003e-44
427,GEN 1:3,be,יְהִ֣י,0.30283324876553847
428,GEN 1:3,be,א֑וֹר,1.2393557903408022e-41
429,GEN 1:3,be,וַֽ,2.7305988508387843e-44
